panel,book,cadence,n_phase,REAL,ROTP,ROT
U56,EWELIG,M,21,0.9651721457274527,0.9458758427015199,0.9450387038575703
U56,BAND03,M,21,0.9769635832064155,0.9673853676528927,0.9674303800208737
U56,TOP20,M,21,0.9597344594784228,0.9149797291431258,0.9147349067600314
U56,EWELIG,Q,63,0.9507071825956368,0.9425630350999658,0.942552588515337
U56,BAND03,Q,63,0.9619503082881216,0.9600179771857014,0.9607725509109495
U56,TOP20,Q,63,0.938451701800135,0.9020604797803687,0.9022240345042868
B136,EWELIG,M,21,0.9741222893779119,0.9693768959885596,0.9683080622824727
B136,BAND03,M,21,0.9729493592148791,0.9719018411737929,0.9723869205730727
B136,TOP20,M,21,0.9621029322408291,0.8996458659598315,0.9008137010583631
B136,EWELIG,Q,63,0.9644589197877678,0.9697589459347148,0.9653952850773827
B136,BAND03,Q,63,0.9601176217706391,0.9639434507642541,0.9642628792335347
B136,TOP20,Q,63,0.9402321306588213,0.8954374017979698,0.8951670295839329
