vocab,subset,block,diff,lo,hi,p_neg,separable
STRICT,ALL,cell,-0.006153930604229684,-0.01315864813161394,0.0006764436552761122,0.9605,False
STRICT,ALL,instance,-0.0070909267368569895,-0.046757734642706,0.02944411685696492,0.6345,False
STRICT,ALL,file,-0.006041398264792586,-0.04435030110683126,0.028801473868917855,0.6215,False
STRICT,ACTIVE (|margin|>0),cell,-0.008541797947032276,-0.01722874361478189,0.0003306672005124112,0.9715,False
STRICT,ACTIVE (|margin|>0),instance,-0.009744849730734507,-0.059739793835003795,0.034239031121031376,0.6435,False
STRICT,ACTIVE (|margin|>0),file,-0.008484496372681748,-0.055039906514572516,0.03503502232407369,0.6235,False
BROAD,ALL,cell,-0.01124233575806117,-0.02465143580995411,0.0020020300761530397,0.952,False
BROAD,ALL,instance,-0.01796477936326505,-0.16336920560768625,0.14060265869792202,0.5935,False
BROAD,ALL,file,-0.015850123462134408,-0.12839564110515558,0.12475552920557466,0.617,False
BROAD,ACTIVE (|margin|>0),cell,-0.010423322757229554,-0.024863439415186355,0.004701721587490619,0.9195,False
BROAD,ACTIVE (|margin|>0),instance,-0.017712304637209613,-0.16924194030485218,0.13788373961176376,0.585,False
BROAD,ACTIVE (|margin|>0),file,-0.01486447775529555,-0.1339114799678516,0.12897616066334125,0.601,False
