window,panel,n,raw_rho,rho_slope_cstar,rho_tax_slope,K2,K3,K4,K5,K6,K8,K10
IS,U56,82,-0.5184358785291048,-0.5142630141160849,0.9735791001955966,-0.685688718318153,-0.6860822679440388,-0.7378318015517042,-0.6827166679437371,-0.7038943242950276,-0.7494228865272685,-0.6979149578946664
IS,B136,46,-0.32727723281906845,-0.3826703669441875,0.9496283590544619,-0.6692970733254449,-0.8400321299180237,-0.7924835845307253,-0.838880602032247,-0.8611111111111112,-0.8018027885493866,-0.7899999999999999
IS,SMALL439,58,-0.6237267850766468,-0.6957150327601588,0.9452224296244921,-0.7973625549009649,-0.8162159142391743,-0.8134797244608108,-0.8316083916083917,-0.7805555555555554,-0.7321428571428572,-0.762857142857143
IS,POOLED,186,-0.46308518829413714,-0.4883187482807975,0.9540812874809584,-0.7055039080533918,-0.7719238002024862,-0.7991525857679994,-0.8008599281744674,-0.8168974902481594,-0.810295609486843,-0.7985538681936424
OOS,U56,152,-0.7310741917003917,-0.7777937246700701,0.9570023405557043,-0.8285452704102862,-0.8385858235710896,-0.8469065359553666,-0.8607255838125105,-0.8547112288689268,-0.8093624041863055,-0.8334523733675029
OOS,B136,175,-0.65288356238938,-0.6638289296909986,0.9548537848721048,-0.8030516095607452,-0.8426939652132431,-0.844232784500184,-0.843066375490884,-0.8621381488230209,-0.8332734901099764,-0.8093759854135048
OOS,SMALL439,155,-0.14007182799287238,-0.14231897135122942,0.9618459981329286,-0.5013238920746134,-0.6668540298688906,-0.7386361483081784,-0.784473548480526,-0.8095910433659109,-0.8193467923714336,-0.8282587387701168
OOS,POOLED,482,-0.4477892695655601,-0.48895180863429116,0.9526648063215873,-0.6861034014368265,-0.7592904873745695,-0.8054734406933468,-0.82597852262788,-0.8242825560103954,-0.850237804730834,-0.8597740738224292
