leg_split,eps,n_pred,n_tie,P_pred_given_tie,P_tie_given_pred,accuracy,false_neg,false_pos,exact,population
EPISODE,0.0,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
EPISODE,1e-12,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
EPISODE,1e-06,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
EPISODE,0.0001,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
EPISODE,0.001,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
DECLINE,0.0,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE,1e-12,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE,1e-06,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE,0.0001,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE,0.001,45,45,1.0,1.0,1.0,0,0,True,all
RECOVERY,0.0,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
RECOVERY,1e-12,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
RECOVERY,1e-06,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
RECOVERY,0.0001,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
RECOVERY,0.001,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False,all
DECLINE+COST,0.0,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE+COST,1e-12,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE+COST,1e-06,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE+COST,0.0001,45,45,1.0,1.0,1.0,0,0,True,all
DECLINE+COST,0.001,45,45,1.0,1.0,1.0,0,0,True,all
EPISODE,0.0,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
EPISODE,1e-12,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
EPISODE,1e-06,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
EPISODE,0.0001,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
EPISODE,0.001,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
DECLINE,0.0,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE,1e-12,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE,1e-06,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE,0.0001,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE,0.001,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
RECOVERY,0.0,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
RECOVERY,1e-12,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
RECOVERY,1e-06,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
RECOVERY,0.0001,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
RECOVERY,0.001,0,30,0.0,,0.7222222222222222,30,0,False,no-SPYDD
DECLINE+COST,0.0,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE+COST,1e-12,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE+COST,1e-06,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE+COST,0.0001,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
DECLINE+COST,0.001,30,30,1.0,1.0,1.0,0,0,True,no-SPYDD
