set,panel,form,IS_pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_OOS_Sharpe,best_cell,best_OOS_Sharpe,regret,regret_vs_best,live_OOS_Sharpe,spy_OOS_Sharpe,picked_gate
IN,U56,EWALL,B0.40_d0.50,1.134917968569687,0.12523908348100377,1.2366652161595686,-0.18816497505549,1.1357379992068701,B0.30_d1.00,1.2457932779986767,-0.10092721695269846,0.009128061839108081,1.285072363206482,0.8820107671822842,True
IN,U56,TOP3,OFF,1.015825592240117,0.23805236009934383,1.0553980365043352,-0.25810346252191085,1.0553980365043352,B0.30_d1.00,1.0872748900172304,0.0,0.031876853512895265,1.285072363206482,0.8820107671822842,False
IN,U56,TOP10,B0.40_d0.50,0.8945402815676543,0.14036292314257004,0.9949800522014801,-0.1606451119243214,0.9713041910854872,B0.30_d1.00,1.0210654382365745,-0.023675861115992958,0.02608538603509436,1.285072363206482,0.8820107671822842,True
IN,U56,TOP20,B0.40_d0.25,0.9966847998100383,0.14291380224666472,1.1871760311290205,-0.17559746380633512,1.167991233806965,B0.30_d1.00,1.2332829037706163,-0.01918479732205558,0.04610687264159585,1.285072363206482,0.8820107671822842,True
IN,U56,MAEW,OFF,1.05475910131451,0.09105842375708106,1.2628581235218095,-0.12011675258999555,1.2628581235218095,B0.30_d1.00,1.3012012959200456,0.0,0.03834317239823615,1.285072363206482,0.8820107671822842,False
IN,U56,RULESV2,OFF,1.1042593710951487,0.09534722887472857,1.285072363206482,-0.12054942313126815,1.285072363206482,B0.30_d1.00,1.321941481432534,0.0,0.0368691182260521,1.285072363206482,0.8820107671822842,False
IN,B136,EWALL,B0.40_d0.50,1.1824014720640355,0.11734883381628047,1.1287750219088504,-0.22106012825271293,1.1022031339130582,B0.50_d0.50,1.2230795192774633,-0.02657188799579213,0.0943044973686129,1.1185082795688426,0.8820239235972316,True
IN,B136,TOP3,OFF,0.9219778587907292,0.11420757715234342,0.5760999130793343,-0.34685341029382044,0.5760999130793343,B0.30_d1.00,0.6181003516389816,0.0,0.0420004385596473,1.1185082795688426,0.8820239235972316,False
IN,B136,TOP10,B0.50_d0.25,1.0540902286325902,0.12467905881221042,0.7930585740460815,-0.2084278814011109,0.7830912652526079,B0.50_d0.50,0.7950845485069231,-0.009967308793473628,0.0020259744608416286,1.1185082795688426,0.8820239235972316,True
IN,B136,TOP20,OFF,1.043837850225855,0.12486792010130943,0.8919165372280256,-0.2005204833110832,0.8919165372280256,B0.50_d0.50,0.9172597707131209,0.0,0.025343233485095373,1.1185082795688426,0.8820239235972316,False
IN,B136,MAEW,OFF,1.0567522861186438,0.07870963426528443,1.1257193251059632,-0.12616421510282372,1.1257193251059632,B0.50_d0.50,1.1411691111161233,0.0,0.015449786010160116,1.1185082795688426,0.8820239235972316,False
IN,B136,RULESV2,OFF,1.0911618922065958,0.07983337481604336,1.1185082795688426,-0.12240793860208021,1.1185082795688426,B0.50_d0.50,1.135423731133598,0.0,0.01691545156475538,1.1185082795688426,0.8820239235972316,False
