panel,target,T_trade,R,cost,window,d_net_sharpe,d_gross_ret,d_turn_py,cost_term,d_net_ret,turn_share,stale_wins_sharpe,stale_wins_gross
B136,0.08,M,W,10,IS,0.02558918687435252,0.0015059579597801603,-2.1256090380411545,0.0021256090380411545,0.003631566997821315,0.5853145596147257,True,True
B136,0.08,M,W,10,FULL,0.004818092838793309,0.0006838579393407956,-1.7932564644047337,0.0017932564644047339,0.0024771144037455295,0.7239296100709899,True,True
B136,0.08,M,W,25,IS,0.06324106081801495,0.0015059579597801603,-2.1256090380411545,0.005314022595102886,0.006819980554883046,0.779184420298397,True,True
B136,0.08,M,W,25,FULL,0.037337883608748124,0.0006838579393407956,-1.7932564644047337,0.0044831411610118345,0.00516699910035263,0.8676489145712983,True,True
B136,0.08,M,W,50,IS,0.1260427128137539,0.0015059579597801603,-2.1256090380411545,0.010628045190205772,0.012134003149985933,0.8758894372149635,True,True
B136,0.08,M,W,50,FULL,0.09153746584706768,0.0006838579393407956,-1.7932564644047337,0.008966282322023669,0.009650140261364465,0.9291349223100202,True,True
B136,0.08,M,M,10,IS,0.14764591297385055,0.01631956791815467,-3.451075145281337,0.003451075145281337,0.019770643063436007,0.17455553338392843,True,True
B136,0.08,M,M,10,FULL,0.02436133728388068,0.007826373513423468,-3.1907125192741086,0.0031907125192741086,0.011017086032697576,0.2896149226578065,True,True
B136,0.08,M,M,25,IS,0.2113192803787045,0.01631956791815467,-3.451075145281337,0.008627687863203342,0.024947255781358015,0.34583715094028233,True,True
B136,0.08,M,M,25,FULL,0.08423077563147419,0.007826373513423468,-3.1907125192741086,0.007976781298185272,0.01580315481160874,0.5047587898288296,True,True
B136,0.08,M,M,50,IS,0.31705936880294505,0.01631956791815467,-3.451075145281337,0.017255375726406685,0.03357494364456136,0.513936103931534,True,True
B136,0.08,M,M,50,FULL,0.1837329046996805,0.007826373513423468,-3.1907125192741086,0.015953562596370544,0.023779936109794012,0.6708833246107799,True,True
B136,0.08,M,Q,10,IS,-0.017343847517858446,0.005907310021697074,-4.7693327851569105,0.00476933278515691,0.010676642806853983,0.4467071598663193,False,True
