L,excl,reading,restated_26,restated_136,restated_14,restated_292,share_26,ledgers,headline
200,LITERAL,LOOSE,2,2,1,3,0.07692307692307693,0,False
200,LITERAL,TIGHT,2,2,1,2,0.07692307692307693,0,False
200,GENERAL,LOOSE,2,2,1,3,0.07692307692307693,0,False
200,GENERAL,TIGHT,2,2,1,2,0.07692307692307693,0,False
600,LITERAL,LOOSE,3,3,1,7,0.11538461538461539,0,False
600,LITERAL,TIGHT,2,2,1,3,0.07692307692307693,0,False
600,GENERAL,LOOSE,3,3,1,7,0.11538461538461539,0,False
600,GENERAL,TIGHT,2,2,1,3,0.07692307692307693,0,False
1500,LITERAL,LOOSE,4,4,1,13,0.15384615384615385,0,False
1500,LITERAL,TIGHT,4,4,1,5,0.15384615384615385,0,True
1500,GENERAL,LOOSE,4,4,1,12,0.15384615384615385,0,False
1500,GENERAL,TIGHT,4,4,1,5,0.15384615384615385,0,False
4000,LITERAL,LOOSE,11,11,4,26,0.4230769230769231,0,False
4000,LITERAL,TIGHT,9,9,3,13,0.34615384615384615,0,False
4000,GENERAL,LOOSE,10,10,4,24,0.38461538461538464,0,False
4000,GENERAL,TIGHT,8,8,3,12,0.3076923076923077,0,False
WHOLE,LITERAL,LOOSE,20,20,10,39,0.7692307692307693,2,False
WHOLE,LITERAL,TIGHT,16,16,7,24,0.6153846153846154,2,False
WHOLE,GENERAL,LOOSE,19,19,10,37,0.7307692307692307,2,False
WHOLE,GENERAL,TIGHT,15,15,7,23,0.5769230769230769,2,False
