bin,panel,n,ddctl_med,degross_med,delta,ddctl_cheaper,degross_slope,cheaper_vs_slope
"[0,2)",u56,86,2.2932271562015325,0.4523230529333514,1.8409041032681812,0,0.6573152663252867,0
"[0,2)",broad136,62,4.564143238002404,0.30699985112148626,4.257143386880918,1,0.6099788392976381,1
"[0,2)",small439,25,5.078787126959269,0.21130149035572024,4.867485636603549,0,0.20612535630143705,0
"[0,2)",ALL,173,2.553047291807023,0.45148805039181084,2.101559241415212,1,0.6099788392976381,1
"[2,4)",u56,16,0.9788550425108908,0.6784859472065896,0.3003690953043012,1,0.6573152663252867,0
"[2,4)",broad136,17,0.7517910723630783,0.6401324728029398,0.11165859956013846,4,0.6099788392976381,3
"[2,4)",small439,8,0.33502007327180106,0.20063690017233185,0.1343831730994692,0,0.22177655898506227,0
"[2,4)",ALL,41,0.7204013566907148,0.6401324728029398,0.08026888388777498,5,0.6099788392976381,3
"[4,6)",u56,18,1.1488431336470823,0.675025738200559,0.47381739544652335,1,0.6573152663252867,1
"[4,6)",broad136,18,0.7182098084726494,0.6361452842402792,0.0820645242323702,4,0.6099788392976381,4
"[4,6)",small439,20,0.3258506159980968,0.20715650058792112,0.11869411541017566,2,0.20612535630143705,3
"[4,6)",ALL,56,0.7182098084726494,0.38162637938306676,0.3365834290895826,7,0.38279241315843177,8
"[6,8)",u56,8,1.4219187787571668,0.7155940536124341,0.7063247251447327,0,0.6955411628754603,0
"[6,8)",broad136,13,1.043533811234776,0.6301366850024556,0.4133971262323205,2,0.6099788392976381,2
"[6,8)",small439,17,0.1680383781708921,0.20375077634790864,-0.03571239817701655,6,0.20612535630143705,6
"[6,8)",ALL,38,0.5436431754832578,0.30558781277913066,0.23805536270412714,8,0.30218946107166755,8
"[8,10)",u56,6,0.8690820339660109,0.6672946439956743,0.20178738997033663,0,0.6573152663252867,0
"[8,10)",broad136,10,0.5675709838835478,0.4647079383542867,0.10286304552926107,3,0.4560841501846528,3
"[8,10)",small439,6,0.3308832094139109,0.21077560903606962,0.1201076003778413,0,0.23742776166868745,0
"[8,10)",ALL,22,0.5996882228628713,0.38309313044326154,0.21659509241960972,3,0.38279241315843177,3
"[10,99)",u56,10,0.8386225926829081,0.6810090561943933,0.15761353648851473,0,0.6764282146003735,0
"[10,99)",broad136,23,0.6058489884662457,0.6099189053201528,-0.0040699168539071184,3,0.6099788392976381,3
"[10,99)",small439,68,0.21475640214445285,0.2074722096286017,0.007284192515851162,7,0.20612535630143705,7
"[10,99)",ALL,101,0.2602310063775856,0.215530586982523,0.04470041939506261,10,0.23742776166868745,10
