window,committed,scope,rung,sharpe_n,sharpe_win_F,sharpe_win_W,sharpe_n_flip,sharpe_flip,sharpe_WL,sharpe_LW,sharpe_med_abs_d,sharpe_max_abs_d,sharpe_d_win,cagr_n,cagr_win_F,cagr_win_W,cagr_n_flip,cagr_flip,cagr_WL,cagr_LW,cagr_med_abs_d,cagr_max_abs_d,cagr_d_win,maxdd_n,maxdd_win_F,maxdd_win_W,maxdd_n_flip,maxdd_flip,maxdd_WL,maxdd_LW,maxdd_med_abs_d,maxdd_max_abs_d,maxdd_d_win,med_d_geff,max_abs_d_geff
FULL,True,U56,0.0,216,0.9166666666666666,0.9166666666666666,0,0.0,0,0,0.0,0.0,0.0,216,0.9305555555555556,0.9305555555555556,0,0.0,0,0,0.0,0.0,0.0,216,0.6111111111111112,0.6111111111111112,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,U56,10.0,216,0.9166666666666666,0.9166666666666666,0,0.0,0,0,0.0,0.0,0.0,216,0.8703703703703703,0.8703703703703703,0,0.0,0,0,0.0,0.0,0.0,216,0.6018518518518519,0.6018518518518519,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,U56,25.0,216,0.8611111111111112,0.8611111111111112,0,0.0,0,0,0.0,0.0,0.0,216,0.7268518518518519,0.7268518518518519,0,0.0,0,0,0.0,0.0,0.0,216,0.5509259259259259,0.5509259259259259,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,B136,0.0,216,0.8333333333333334,0.8333333333333334,0,0.0,0,0,0.0,0.0,0.0,216,0.6944444444444444,0.6944444444444444,0,0.0,0,0,0.0,0.0,0.0,216,0.6296296296296297,0.6296296296296297,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,B136,10.0,216,0.7962962962962963,0.7962962962962963,0,0.0,0,0,0.0,0.0,0.0,216,0.5416666666666666,0.5416666666666666,0,0.0,0,0,0.0,0.0,0.0,216,0.6296296296296297,0.6296296296296297,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,B136,25.0,216,0.6435185185185185,0.6435185185185185,0,0.0,0,0,0.0,0.0,0.0,216,0.3472222222222222,0.3472222222222222,0,0.0,0,0,0.0,0.0,0.0,216,0.5925925925925926,0.5925925925925926,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,SMALL,0.0,216,0.8425925925925926,0.8425925925925926,0,0.0,0,0,0.0,0.0,0.0,216,0.7870370370370371,0.7870370370370371,0,0.0,0,0,0.0,0.0,0.0,216,0.9259259259259259,0.9259259259259259,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,SMALL,10.0,216,0.7962962962962963,0.7962962962962963,0,0.0,0,0,0.0,0.0,0.0,216,0.7685185185185185,0.7685185185185185,0,0.0,0,0,0.0,0.0,0.0,216,0.9259259259259259,0.9259259259259259,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,SMALL,25.0,216,0.75,0.75,0,0.0,0,0,0.0,0.0,0.0,216,0.7129629629629629,0.7129629629629629,0,0.0,0,0,0.0,0.0,0.0,216,0.9259259259259259,0.9259259259259259,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,REPRO2,0.0,432,0.875,0.875,0,0.0,0,0,0.0,0.0,0.0,432,0.8125,0.8125,0,0.0,0,0,0.0,0.0,0.0,432,0.6203703703703703,0.6203703703703703,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,REPRO2,10.0,432,0.8564814814814815,0.8564814814814815,0,0.0,0,0,0.0,0.0,0.0,432,0.7060185185185185,0.7060185185185185,0,0.0,0,0,0.0,0.0,0.0,432,0.6157407407407407,0.6157407407407407,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
FULL,True,REPRO2,25.0,432,0.7523148148148148,0.7523148148148148,0,0.0,0,0,0.0,0.0,0.0,432,0.5370370370370371,0.5370370370370371,0,0.0,0,0,0.0,0.0,0.0,432,0.5717592592592593,0.5717592592592593,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
IS,True,U56,0.0,216,0.4537037037037037,0.4537037037037037,0,0.0,0,0,1.2502537243941347e-05,0.00013098129688682292,0.0,216,0.6990740740740741,0.3888888888888889,67,0.3101851851851852,67,0,0.001148939888565792,0.011708359748392239,-0.3101851851851852,216,0.14814814814814814,0.16666666666666666,4,0.018518518518518517,0,4,0.001166614090250484,0.011743366708976355,0.018518518518518517,0.008108941459786079,0.08663936855711285
IS,True,U56,10.0,216,0.6296296296296297,0.4074074074074074,48,0.2222222222222222,48,0,1.1305376595271976e-05,9.711218231311936e-05,-0.22222222222222227,216,0.6944444444444444,0.3425925925925926,76,0.35185185185185186,76,0,0.0010438394742030566,0.010591715092431508,-0.3518518518518518,216,0.12962962962962962,0.1574074074074074,6,0.027777777777777776,0,6,0.0012329538764173642,0.012358124318344155,0.02777777777777779,0.008108941459786079,0.08663936855711285
IS,True,U56,25.0,216,0.5601851851851852,0.33796296296296297,48,0.2222222222222222,48,0,4.773808109814759e-05,0.00044099021553367646,-0.22222222222222227,216,0.5555555555555556,0.24074074074074073,68,0.3148148148148148,68,0,0.0008889358214446696,0.008954937380319494,-0.3148148148148149,216,0.12037037037037036,0.12037037037037036,4,0.018518518518518517,2,2,0.0013306972732916034,0.013258009348913302,0.0,0.008108941459786079,0.08663936855711285
IS,True,B136,0.0,216,0.42592592592592593,0.23148148148148148,42,0.19444444444444445,42,0,1.781734993222539e-05,0.00015451631740814875,-0.19444444444444445,216,0.5,0.1574074074074074,74,0.3425925925925926,74,0,0.0017486923940758237,0.015142572914383035,-0.34259259259259256,216,0.17592592592592593,0.17592592592592593,0,0.0,0,0,0.0015496523493448988,0.013445208416247079,0.0,0.009338348864726342,0.09589831942017923
IS,True,B136,10.0,216,0.37037037037037035,0.17592592592592593,42,0.19444444444444445,42,0,5.510228151350827e-05,0.0004774360432004965,-0.19444444444444442,216,0.4398148148148148,0.06018518518518518,82,0.37962962962962965,82,0,0.0016032958566127853,0.013888558528677875,-0.37962962962962965,216,0.17592592592592593,0.17592592592592593,0,0.0,0,0,0.0016014960455447147,0.013899245154974316,0.0,0.009338348864726342,0.09589831942017923
IS,True,B136,25.0,216,0.2777777777777778,0.08333333333333333,42,0.19444444444444445,42,0,0.00011153317633288973,0.0009640115521800663,-0.19444444444444448,216,0.3333333333333333,0.05555555555555555,60,0.2777777777777778,60,0,0.0013902126836400353,0.012049780669604937,-0.2777777777777778,216,0.1111111111111111,0.125,3,0.013888888888888888,0,3,0.0016779689477979254,0.014569287683759757,0.013888888888888895,0.009338348864726342,0.09589831942017923
IS,True,SMALL,0.0,216,0.6944444444444444,0.4398148148148148,55,0.25462962962962965,55,0,4.1100191092269256e-05,0.0006778362868935517,-0.2546296296296296,216,0.75,0.5231481481481481,71,0.3287037037037037,60,11,0.0009483068072995149,0.01784615349451335,-0.22685185185185186,216,0.18981481481481483,0.16666666666666666,7,0.032407407407407406,6,1,0.0020599515531466994,0.04116030147466909,-0.023148148148148168,0.005304633605167752,0.175568515722054
