panel,clause,g,verdict,meanGross_T,meanGross_C,L1_c,maxdW_L0,maxdW_L1,maxdW_L2,L2_unmatched_days,dSharpe_vs_L0,dSharpe_vs_L1,dSharpe_vs_L2,dCAGR_vs_L2,dMaxDD_vs_L2,keep4b_T,keep4b_L0,keep4b_L1,keep4b_L2,keep4a_T,keep4a_L2
U56,GROSS,0.4,STATIC-GROSS,0.3999999999999998,0.3749999999999999,1.0666666666666664,0.0005102040816326522,2.6020852139652106e-18,1.3010426069826053e-17,0,9.468322232542015e-05,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0,0,0,0,0,0
U56,GROSS,0.5,STATIC-GROSS,0.5000000000000002,0.3749999999999999,1.3333333333333344,0.0025510204081632647,8.673617379884035e-18,1.9081958235744878e-17,0,0.00045004017139071983,4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,0.0,0,0,0,0,0,0
U56,GROSS,0.6,STATIC-GROSS,0.6,0.3749999999999999,1.6000000000000003,0.004591836734693877,3.469446951953614e-18,1.5612511283791264e-17,0,0.0007678631971046457,0.0,0.0,0.0,0.0,0,0,0,0,0,0
U56,GROSS,0.7,STATIC-GROSS,0.6999999999999995,0.3749999999999999,1.8666666666666658,0.006632653061224488,6.938893903907228e-18,2.2551405187698492e-17,0,0.0010454322755431011,2.220446049250313e-16,0.0,0.0,-1.1102230246251565e-15,0,0,0,0,0,0
U56,GROSS,0.75,STATIC-GROSS,0.7499999999999998,0.3749999999999999,2.0,0.007653061224489796,0.0,0.0,0,0.0011684079869180852,0.0,0.0,0.0,0.0,0,0,0,0,0,0
U56,GROSS,0.85,STATIC-GROSS,0.8500000000000001,0.3749999999999999,2.2666666666666675,0.009693877551020408,6.938893903907228e-18,3.8163916471489756e-17,0,0.001380343466401479,2.220446049250313e-16,4.440892098500626e-16,0.0,3.3306690738754696e-16,0,0,0,0,0,0
U56,GROSS,1.0,STATIC-GROSS,1.0000000000000004,0.3749999999999999,2.6666666666666687,0.012755102040816325,1.734723475976807e-17,3.8163916471489756e-17,0,0.00160882254434358,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0,0,0,0,0,0
U56,MAGATE,0.4,SELECTION,0.2689368053474077,0.3999999999999998,0.6723420133685196,0.008163265306122448,0.005488506231579752,0.007520000000000001,0,0.0482082673891826,0.04872883220204627,-0.016814035932423366,-0.0003816023268239377,0.005977651067494039,0,0,0,0,0,0
U56,MAGATE,0.5,SELECTION,0.33617100668425964,0.5000000000000002,0.672342013368519,0.01020408163265306,0.006860632789474683,0.0094,0,0.047884642646061515,0.048486132221162936,-0.016448806843145203,-0.00046922788864067755,0.007304376767940157,0,0,0,0,0,0
U56,MAGATE,0.6,SELECTION,0.40340520802111157,0.6,0.6723420133685193,0.012244897959183673,0.008232759347369624,0.01128,0,0.047579685867176424,0.04824015639080126,-0.016093071188168162,-0.0005540132466013148,0.008566395215382494,0,0,0,0,0,0
U56,MAGATE,0.7,SELECTION,0.47063940935796345,0.6999999999999995,0.6723420133685197,0.014285714285714284,0.009604885905264567,0.01316,0,0.04729530712751484,0.04799126539246079,-0.015748499263759763,-0.0006362406630984196,0.009765027246046554,0,0,0,0,0,0
U56,MAGATE,0.75,SELECTION,0.5042565100263895,0.7499999999999998,0.6723420133685195,0.015306122448979591,0.010290949184212033,0.0141,0,0.04716127048065388,0.04786533406827642,-0.015580620962971858,-0.0006764779745769278,0.01034095423328596,0,0,0,0,0,0
U56,MAGATE,0.85,SELECTION,0.5714907113632414,0.8500000000000001,0.6723420133685192,0.017346938775510204,0.011663075742106965,0.01598,0,0.046911120477692414,0.047610222682748615,-0.01525478573650152,-0.0007554367074262824,0.011446798504130773,0,0,0,0,0,0
