form,fbar,bound,conforming,non_conforming,editable,rerun,draws_per_verdict
CF_POINT,0.02,1450,351,1099,0,1099,0
CF_POINT,0.05,1450,351,1099,0,1099,0
CF_POINT,0.1,1450,351,1099,0,1099,0
CF_POINT,0.25,1450,351,1099,0,1099,0
CF_POINT,0.5,1450,351,1099,0,1099,0
CF_POINT,1.0,1450,351,1099,0,1099,0
CF_LADDER4,0.02,1450,42,1408,0,1408,3000
CF_LADDER4,0.05,1450,42,1408,0,1408,3000
CF_LADDER4,0.1,1450,42,1408,0,1408,3000
CF_LADDER4,0.25,1450,42,1408,0,1408,3000
CF_LADDER4,0.5,1450,42,1408,0,1408,3000
CF_LADDER4,1.0,1450,42,1408,0,1408,3000
CF_LADDER11,0.02,1450,42,1408,0,1408,10000
CF_LADDER11,0.05,1450,42,1408,0,1408,10000
CF_LADDER11,0.1,1450,42,1408,0,1408,10000
CF_LADDER11,0.25,1450,42,1408,0,1408,10000
CF_LADDER11,0.5,1450,42,1408,0,1408,10000
CF_LADDER11,1.0,1450,42,1408,0,1408,10000
CF_LADDER12,0.02,1450,42,1408,0,1408,10000
CF_LADDER12,0.05,1450,42,1408,0,1408,10000
CF_LADDER12,0.1,1450,42,1408,0,1408,10000
CF_LADDER12,0.25,1450,42,1408,0,1408,10000
CF_LADDER12,0.5,1450,42,1408,0,1408,10000
CF_LADDER12,1.0,1450,42,1408,0,1408,10000
CF_IDENTITY,0.02,1450,20,1430,331,1099,0
CF_IDENTITY,0.05,1450,20,1430,331,1099,0
CF_IDENTITY,0.1,1450,20,1430,331,1099,0
CF_IDENTITY,0.25,1450,20,1430,331,1099,0
CF_IDENTITY,0.5,1450,20,1430,331,1099,0
CF_IDENTITY,1.0,1450,20,1430,331,1099,0
CF_FRACTION,0.02,1450,20,1430,331,1099,5000
CF_FRACTION,0.05,1450,20,1430,331,1099,4000
CF_FRACTION,0.1,1450,20,1430,331,1099,3000
CF_FRACTION,0.25,1450,20,1430,331,1099,2000
CF_FRACTION,0.5,1450,20,1430,331,1099,1000
CF_FRACTION,1.0,1450,20,1430,331,1099,0
