incumbent,norm,q,record_D,tau_live,n,mean,t,p,W,L,Z,abstain,sel_mean,argmax_mean,inc_mean
ctl,rng,0.6,0.01133481265589705,0.24552000230918294,1200,-0.02662237753383766,-17.876173257652866,0.0,0,254,946,0.5966666666666667,0.9570494933015014,0.983671870835339,0.9508060336608933
med,raw,0.0,0.0,0.0009133966158880735,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9622818492039681
mean,raw,0.0,0.0,0.0009133966158880735,1200,0.0,,,0,0,1200,0.0,0.983671870835339,0.983671870835339,0.9641331450763998
