panel,book,gross,turnover_yr,lam_star_at50,T_star_at50,binding_leg,be_L_H1,be_L_H2,be_L_OOS,be_L_DD,be_L_CAGR,be_pass4a,be_pass4b,be_pass4a_b10
U56,CAP2,0.75,3.5063829420832278,0.69,2.419404230037427,L_CAGR,95.0,inf,inf,inf,34.0,-1.0,34.0,-1.0
U56,CAP2,1.0,3.9918738682526254,1.095,4.371101885736625,L_CAGR,81.0,inf,inf,inf,54.0,-1.0,54.0,-1.0
U56,CAND,0.75,4.39457281063272,0.985,4.328654218473229,L_CAGR,72.0,89.0,97.0,inf,49.0,-1.0,49.0,-1.0
U56,CAND,1.0,5.679032812388824,-1.0,,L_DD,69.0,82.0,90.0,-1.0,98.0,-1.0,-1.0,-1.0
B136,CAP2,0.75,4.675125426436814,0.67,3.132334035712666,L_CAGR,80.0,45.0,58.0,66.0,33.0,-1.0,33.0,-1.0
B136,CAP2,1.0,5.829629100658773,-1.0,,L_DD,78.0,39.0,53.0,-1.0,77.0,-1.0,-1.0,-1.0
B136,CAND,0.75,4.906022705624988,0.71,3.4832761209937413,L_CAGR,63.0,48.0,59.0,66.0,35.0,-1.0,35.0,-1.0
B136,CAND,1.0,6.316743996025918,-1.0,,L_DD,60.0,41.0,52.0,-1.0,78.0,-1.0,-1.0,-1.0
