gamma,phi,n_gross,n_floor,n_both,adm_gross_OOS_Sharpe,adm_gross_OOS_MaxDD,adm_gross_OOS_CAGR,adm_floor_OOS_Sharpe,adm_floor_OOS_MaxDD,adm_floor_OOS_CAGR
0.0,0.0,56,56,56,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.0,0.5,56,51,51,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.0,0.6,56,35,35,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.0,0.7,56,29,29,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.0,0.8,56,14,14,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.0,0.9,56,5,5,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.0,1.0,56,0,0,1.111705607062836,-0.1655479522371301,0.11214191403481048,,,
0.3,0.0,56,56,56,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.3,0.5,56,51,51,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.3,0.6,56,35,35,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.3,0.7,56,29,29,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.3,0.8,56,14,14,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.3,0.9,56,5,5,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.3,1.0,56,0,0,1.111705607062836,-0.1655479522371301,0.11214191403481048,,,
0.4,0.0,56,56,56,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.4,0.5,56,51,51,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.4,0.6,56,35,35,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.4,0.7,56,29,29,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.4,0.8,56,14,14,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.4,0.9,56,5,5,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.4,1.0,56,0,0,1.111705607062836,-0.1655479522371301,0.11214191403481048,,,
0.45,0.0,56,56,56,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.45,0.5,56,51,51,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.45,0.6,56,35,35,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.45,0.7,56,29,29,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.45,0.8,56,14,14,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.45,0.9,56,5,5,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.45,1.0,56,0,0,1.111705607062836,-0.1655479522371301,0.11214191403481048,,,
0.5,0.0,56,56,56,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.111705607062836,-0.1655479522371301,0.11214191403481048
0.5,0.5,56,51,51,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1115101506503051,-0.17025697896731726,0.11583575482564924
0.5,0.6,56,35,35,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.110193501067114,-0.18255482834917297,0.12834784011597003
0.5,0.7,56,29,29,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1139716256013832,-0.18527454254252332,0.13242907358990852
0.5,0.8,56,14,14,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.1428574422708397,-0.19012605544413422,0.1443945961539242
0.5,0.9,56,5,5,1.111705607062836,-0.1655479522371301,0.11214191403481048,1.17522940868083,-0.19423580041467545,0.15661033844609012
0.5,1.0,56,0,0,1.111705607062836,-0.1655479522371301,0.11214191403481048,,,
0.55,0.0,44,56,44,1.0994669462693667,-0.17793865999082625,0.1206347764204295,1.111705607062836,-0.1655479522371301,0.11214191403481048
