panel,n,cost,bar_CF,lad_ratio_med,lad_ratio_min,lad_ratio_max,ctrl_CAGR,ctrl_MaxDD,over_CF,n_pts
U56,3,0,1.0314592811557348,0.9642491104502238,0.9105719318401175,1.0285655232228226,0.24404567056736215,-0.25172317193258065,0,98
U56,3,10,1.18108300927593,1.11289322439498,1.0601525413130195,1.1778970812138667,0.218531179006751,-0.2581034625219104,0,98
U56,3,25,1.4766666216012434,1.4120383756601878,1.3674382387570492,1.4729332997403575,0.18120647197987472,-0.267581548790802,0,98
U56,20,0,1.3251729748373682,1.2682084073159485,1.2177488650088046,1.3228287325786465,0.13749175798268798,-0.1822003619415381,0,98
U56,20,10,1.446187261750832,1.3892934032836508,1.33957200174064,1.4433748425556026,0.1265973583235207,-0.1830834869787813,0,98
U56,20,25,1.6696532687320993,1.6142073968416042,1.56744764751935,1.6658108069662672,0.11044635761256427,-0.1844071220073723,0,98
B136,3,0,1.8165183852594302,1.7482480750071048,1.705130880487354,1.8133751257582724,0.1737664450115608,-0.315649942104672,0,98
B136,3,10,2.3775436033911337,2.44282770218776,2.3774441633208787,2.5148228173306912,0.14588729720838578,-0.3468534102938188,97,98
B136,3,25,3.9174046525232282,4.041199476741818,3.917778697779437,4.223847036322633,0.10526953777953962,-0.41238337706653827,98,98
B136,20,0,1.3636924954262375,1.3142131802009307,1.2713291737413395,1.3616389876845494,0.14653709778134982,-0.19983154054596752,0,98
B136,20,10,1.532299795985671,1.4868642839979165,1.4488997846872955,1.5299176625473963,0.13086243556020016,-0.20052048331108274,0,98
B136,20,25,1.8706943614990856,1.8376888679649939,1.8148141623854877,1.8674756093262368,0.10774243748456414,-0.20155317029654185,0,98
SMALL439,3,0,14.487217267145564,26.552106342236677,14.816888498565227,230.44255530656042,0.03670461307223105,-0.5317477042839225,74,74
SMALL439,3,10,1511.8644459330026,,,,0.0003886993975337205,-0.5876607992868103,0,0
SMALL439,3,25,,,,,-0.051769175199848916,-0.6888005408905751,0,0
SMALL439,20,0,2.8203683378084965,2.8633131442343167,2.8209626581924163,3.041173369594269,0.08731928260583177,-0.2462725399416401,98,98
SMALL439,20,10,4.182875389482311,4.523666265562861,4.190204570764475,5.151252772448799,0.06558312651493092,-0.2743260458646094,98,98
SMALL439,20,25,10.403791047125171,12.410165157871226,10.434107002929785,15.665292469461399,0.03377388240387513,-0.35137641538009445,96,96
