gate,pub_CAGR,got_CAGR,pub_Sharpe,got_Sharpe,pub_MaxDD,got_MaxDD,verdict
G1/K1,0.1279,0.12778534248203832,1.064,1.0632204595128434,-0.1831,-0.1830834144627017,PASS
G1/K2,,,,,,,NO PUBLISHED TRIPLE
G1/K3,0.1171,0.11783458915117473,1.1454,1.1582316284744965,-0.1237,-0.1237392928843456,PASS
G1/K4,0.1196,0.11921216196097117,1.2126,1.2095309744401905,-0.1549,-0.15485495397691995,PASS
G1/K5,0.1159,0.11544485987825248,1.2055,1.2016651077116542,-0.1591,-0.15910990262743974,PASS
G1/K6,0.1402,0.13974222525739366,1.2264,1.223289109519813,-0.1942,-0.19419373034827148,PASS
G1/K7,0.0627,0.06220101729156324,1.1777,1.1687108743038912,-0.111,-0.11133286588851088,PASS
G1/K8,0.1413,0.14159352927982938,1.2204,1.2225788453420765,-0.1479,-0.1479115582684295,PASS
G1/R1,0.1137,0.11390601126292133,1.1439,1.1460877446699917,-0.1905,-0.1905060857627321,PASS
G1/R2,0.1155,0.11508784364638625,1.0914,1.087689994351135,-0.1862,-0.18647361198328027,PASS
G1/R3,0.1547,0.15376905043373967,1.2359,1.2260363003671622,-0.198,-0.19975796950615476,PASS
G1/R4,0.1499,0.14985888137427117,1.1264,1.1264311898720905,-0.1943,-0.1943271934977503,PASS
G2/LIVE,0.0863,0.08628162162824915,1.202,1.201840627126638,-0.1205,-0.12054943679771168,PASS
G1/V1,,,,,,,NO PUBLISHED TRIPLE
