window,leg_split,eps,population,n_pred,n_tie,P_pred_given_tie,P_tie_given_pred,accuracy,false_neg,false_pos,exact
FULL,EPISODE,0.0,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,EPISODE,1e-12,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,EPISODE,1e-06,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,EPISODE,0.0001,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,EPISODE,0.001,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,DECLINE,0.0,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE,1e-12,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE,1e-06,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE,0.0001,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE,0.001,all,45,45,1.0,1.0,1.0,0,0,True
FULL,RECOVERY,0.0,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,RECOVERY,1e-12,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,RECOVERY,1e-06,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,RECOVERY,0.0001,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,RECOVERY,0.001,all,6,45,0.13333333333333333,1.0,0.723404255319149,39,0,False
FULL,DECLINE+COST,0.0,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,1e-12,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,1e-06,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,0.0001,all,45,45,1.0,1.0,1.0,0,0,True
FULL,DECLINE+COST,0.001,all,45,45,1.0,1.0,1.0,0,0,True
POST20,EPISODE,0.0,all,10,12,0.5833333333333334,0.7,0.9365079365079365,5,3,False
POST20,EPISODE,1e-12,all,10,12,0.5833333333333334,0.7,0.9365079365079365,5,3,False
POST20,EPISODE,1e-06,all,10,12,0.5833333333333334,0.7,0.9365079365079365,5,3,False
POST20,EPISODE,0.0001,all,10,12,0.5833333333333334,0.7,0.9365079365079365,5,3,False
POST20,EPISODE,0.001,all,10,12,0.5833333333333334,0.7,0.9365079365079365,5,3,False
POST20,DECLINE,0.0,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE,1e-12,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE,1e-06,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE,0.0001,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE,0.001,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,RECOVERY,0.0,all,26,12,0.5833333333333334,0.2692307692307692,0.8095238095238095,5,19,False
POST20,RECOVERY,1e-12,all,26,12,0.5833333333333334,0.2692307692307692,0.8095238095238095,5,19,False
POST20,RECOVERY,1e-06,all,26,12,0.5833333333333334,0.2692307692307692,0.8095238095238095,5,19,False
POST20,RECOVERY,0.0001,all,26,12,0.5833333333333334,0.2692307692307692,0.8095238095238095,5,19,False
POST20,RECOVERY,0.001,all,26,12,0.5833333333333334,0.2692307692307692,0.8095238095238095,5,19,False
POST20,DECLINE+COST,0.0,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE+COST,1e-12,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE+COST,1e-06,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE+COST,0.0001,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
POST20,DECLINE+COST,0.001,all,15,12,1.0,0.8,0.9761904761904762,0,3,False
BEAR22a,EPISODE,0.0,all,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,1e-12,all,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22a,EPISODE,0.001,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.0,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,1e-12,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE,0.001,all,0,0,,,1.0,0,0,False
BEAR22a,RECOVERY,0.0,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22a,RECOVERY,1e-12,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22a,RECOVERY,1e-06,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22a,RECOVERY,0.0001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22a,RECOVERY,0.001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22a,DECLINE+COST,0.0,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,1e-12,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,1e-06,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,0.0001,all,0,0,,,1.0,0,0,False
BEAR22a,DECLINE+COST,0.001,all,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.0,all,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,1e-12,all,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22b,EPISODE,0.001,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.0,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,1e-12,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE,0.001,all,0,0,,,1.0,0,0,False
BEAR22b,RECOVERY,0.0,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22b,RECOVERY,1e-12,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22b,RECOVERY,1e-06,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22b,RECOVERY,0.0001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22b,RECOVERY,0.001,all,30,0,,0.0,0.7435897435897436,0,30,False
BEAR22b,DECLINE+COST,0.0,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,1e-12,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,1e-06,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,0.0001,all,0,0,,,1.0,0,0,False
BEAR22b,DECLINE+COST,0.001,all,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.0,all,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,1e-12,all,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,1e-06,all,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.0001,all,0,0,,,1.0,0,0,False
BEAR22c,EPISODE,0.001,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,0.0,all,0,0,,,1.0,0,0,False
BEAR22c,DECLINE,1e-12,all,0,0,,,1.0,0,0,False
