panel,n,k,y,lam,sd_D50,sd_Dmax,M_D50,M_Dmax,gap_D50,gap_Dmax,slope_logD,D_cross
B136,5,20,CAND Sharpe,cv,0.3165334751789459,0.35077885924999297,-0.05377985306339794,0.824888624911075,0.37031332824234386,-0.474109765661082,-0.2619394081726231,100
B136,5,20,CAND Sharpe,oracle,0.3165334751789459,0.35077885924999297,0.07107224560232883,0.8248886249110751,0.2454612295766171,-0.4741097656610821,-0.22992718957227115,100
B136,5,20,EWall Sharpe,cv,0.2893563005014165,0.2801631414627692,0.1971277830911361,0.8951688579857501,0.09222851741028038,-0.6150057165229809,-0.22992799983985734,100
B136,5,20,EWall Sharpe,oracle,0.2893563005014165,0.2801631414627692,0.2778249165593004,0.8951688579857501,0.011531383942116058,-0.6150057165229809,-0.20921537114536853,100
B136,5,20,premium,cv,-0.09112535697761093,0.029315098557043506,-0.057208633044544044,0.5865548555844022,-0.033916723933066883,-0.5572397570273587,-0.16741479731931938,50
B136,5,20,premium,oracle,-0.09112535697761093,0.029315098557043506,-0.031275022999487145,0.5865548555844022,-0.05985033397812378,-0.5572397570273587,-0.1461138010530249,50
B136,5,40,CAND Sharpe,cv,0.026173887714552535,0.23733227130214185,0.005714324835913387,0.8111609022822536,0.020459562878639148,-0.5738286309801117,-0.18853725465475107,100
B136,5,40,CAND Sharpe,oracle,0.026173887714552535,0.23733227130214185,0.1532863175103737,0.8111609022822536,-0.12711242979582116,-0.5738286309801117,-0.14748278743345458,50
B136,5,40,EWall Sharpe,cv,0.21189101983650904,0.28511237011400503,0.38176430112915216,0.9105614080079886,-0.16987328129264312,-0.6254490378939835,-0.16232686041585034,50
B136,5,40,EWall Sharpe,oracle,0.21189101983650904,0.28511237011400503,0.38176430112915183,0.9105614080079885,-0.16987328129264279,-0.6254490378939834,-0.15925488636228344,50
B136,5,40,premium,cv,-0.06534827898109596,-0.00322829552055226,0.24080054041096843,0.7094822955099005,-0.3061488193920644,-0.7127105910304528,-0.1469148535648986,50
B136,5,40,premium,oracle,-0.06534827898109596,-0.00322829552055226,0.26003564669324597,0.7094822955099005,-0.32538392567434193,-0.7127105910304528,-0.13945773057963998,50
B136,5,80,CAND Sharpe,cv,0.20418624738774038,0.26138626114796737,0.0928147908235818,0.8512028759696874,0.11137145656415859,-0.58981661482172,-0.220669263377243,100
B136,5,80,CAND Sharpe,oracle,0.20418624738774038,0.26138626114796737,0.16120871928761582,0.8513321724327572,0.04297752810012456,-0.5899459112847898,-0.20196221322002006,100
