panel,T_trade,target,stale,gap10,gap0,cost_part,cost_share,flips,d_turn
U56,W,0.08,M,0.15763011057854492,0.12225898641330613,0.0353711241652388,0.22439319515425862,False,2.774766581494179
U56,W,0.08,Q,-0.006535766038806234,-0.059368325850892356,0.05283255981208612,,False,4.262538948712535
U56,W,0.1,M,0.1143137794145408,0.09143049751517252,0.02288328189936828,0.200179558549855,False,2.0859193247425267
U56,W,0.1,Q,-0.048557674429270614,-0.08279345444569097,0.03423578001642036,,False,3.22648786340549
U56,W,0.12,M,0.08659830003746904,0.07078621708986854,0.015812082947600503,0.18259114717908997,False,1.6434326414306217
U56,W,0.12,Q,-0.06362152331813475,-0.08554973698410584,0.021928213665971086,,False,2.3194503876810604
U56,W,0.16,M,0.07216553369925016,0.06459349677293402,0.007572036926316139,0.10492594647567634,False,0.9242433535215799
U56,W,0.16,Q,-0.05149055889126597,-0.06151167114058853,0.010021112249322561,,False,1.2129934539110396
U56,W,0.2,M,0.07394965813066334,0.06989110729327752,0.0040585508373858215,0.054882617986072024,False,0.5530589788723779
U56,W,0.2,Q,-0.013657373072414769,-0.019701246730146726,0.006043873657731957,,False,0.7955828424435436
U56,M,0.08,M,0.15843446189745958,0.11762506786651983,0.04080939403093975,0.2575790237944066,False,3.2821535168577034
U56,M,0.08,Q,-0.003555566206904448,-0.05953716707874013,0.05598160087183568,,False,4.583966217306019
U56,M,0.1,M,0.11448837289843716,0.08756312441387948,0.026925248484557684,0.23517889024803523,False,2.532604831476214
U56,M,0.1,Q,-0.046583251743824716,-0.0830212955273748,0.03643804378355009,,False,3.4949036998904717
U56,M,0.12,M,0.0864352120314642,0.06750532367183837,0.018929888359625835,0.219006674649389,False,2.0228506151398924
U56,M,0.12,Q,-0.06179726491727733,-0.08554487995909388,0.02374761504181655,,False,2.5595031465878875
U56,M,0.16,M,0.07043342469290526,0.061579263821089025,0.00885416087181623,0.12570964581689734,False,1.1032819025312017
U56,M,0.16,Q,-0.05147449377595126,-0.062293826662868534,0.010819332886917277,,False,1.337400079341882
U56,M,0.2,M,0.07175822396264597,0.06686579012012417,0.004892433842521804,0.06817941655117579,False,0.6728020039211104
U56,M,0.2,Q,-0.014333832590446738,-0.020885234321881718,0.00655140173143498,,False,0.8772106929760533
