panel,book,gross,denom,lookback,v,vtag,turnover_yr,heldset_fidelity_vs_INF,mean_N_in,mean_N_elig,reject_rate,mean_names_held,capped_share,max_name_w,med_name_w,mean_risk_gross,mean_sweep_w,max_row_sum
U56,CAP2,0.75,DEGROSS,20,0.3,0.30,5.142870510870373,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.03347599566926559,0.024767247741875314,0.017068030674997303,0.5378700209009095,0.46212997909909054,1.0000000000000013
U56,CAP2,0.75,DEGROSS,20,0.4,0.40,4.484286484392602,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.03565789301979617,0.027381432403730484,0.017099757492120976,0.6001215798948079,0.39987842010519203,1.000000000000001
U56,CAP2,0.75,DEGROSS,20,0.6,0.60,3.9172377380119876,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.03763751104999509,0.027381432403730484,0.017131750676563424,0.6388909111892985,0.36110908881070125,1.0000000000000013
U56,CAP2,0.75,DEGROSS,20,inf,INF,3.5063829420832278,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.038533570278889706,0.027381432403730484,0.017156209551694893,0.6560925471605975,0.3439074528394024,1.0000000000000013
U56,CAP2,0.75,DEGROSS,60,0.3,0.30,3.5669853059812917,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.03220140950935084,0.022899142005641145,0.017054788729856652,0.5247183504867421,0.4752816495132579,1.000000000000001
U56,CAP2,0.75,DEGROSS,60,0.4,0.40,3.5761755752461672,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.03497287952172937,0.026083249546222164,0.017092160476164922,0.5930962044684184,0.40690379553158157,1.0000000000000013
U56,CAP2,0.75,DEGROSS,60,0.6,0.60,3.582670213779967,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.037069448980975334,0.026118773941433356,0.017121275693870487,0.6360934441665473,0.36390655583345244,1.0000000000000013
U56,CAP2,0.75,DEGROSS,60,inf,INF,3.5063829420832278,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.038533570278889706,0.027381432403730484,0.017156209551694893,0.6560925471605975,0.3439074528394024,1.0000000000000013
U56,CAP2,0.75,RESPREAD,20,0.3,0.30,5.2919772929751705,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.10333452016770696,0.026409454281276425,0.019719717026510042,0.5886194641402369,0.41138053585976286,1.0000000000000009
U56,CAP2,0.75,RESPREAD,20,0.4,0.40,4.447492458568516,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.06458221868434445,0.027381432403730484,0.018473213153337387,0.6296297487875799,0.37037025121242,1.0000000000000013
U56,CAP2,0.75,RESPREAD,20,0.6,0.60,3.863379805780237,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.04267139770160102,0.027381432403730484,0.01762861561475672,0.6487250862259917,0.3512749137740081,1.0000000000000013
U56,CAP2,0.75,RESPREAD,20,inf,INF,3.5063829420832278,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.038533570278889706,0.027381432403730484,0.017156209551694893,0.6560925471605975,0.3439074528394024,1.0000000000000013
U56,CAP2,0.75,RESPREAD,60,0.3,0.30,3.630003871307412,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.11537287996844604,0.023573579722621883,0.019795108221824866,0.5790054598392957,0.42099454016070403,1.0000000000000009
U56,CAP2,0.75,RESPREAD,60,0.4,0.40,3.5871490076439883,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.06173043168410912,0.026432630903781562,0.01861395139099991,0.6257005844852227,0.3742994155147772,1.0000000000000009
U56,CAP2,0.75,RESPREAD,60,0.6,0.60,3.564915022607324,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.042529720268946095,0.02612099120440061,0.01754904750874243,0.6460151255154752,0.3539848744845248,1.0000000000000013
U56,CAP2,0.75,RESPREAD,60,inf,INF,3.5063829420832278,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.038533570278889706,0.027381432403730484,0.017156209551694893,0.6560925471605975,0.3439074528394024,1.0000000000000013
U56,CAP2,1.0,DEGROSS,20,0.3,0.30,5.624006095473509,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.195922133976646,0.027675964879073298,0.02,0.6176227365304391,0.3823772634695607,1.0000000000000007
U56,CAP2,1.0,DEGROSS,20,0.4,0.40,4.9301415165228,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.19608905012331823,0.02918030310500747,0.02,0.6878094306738508,0.3121905693261489,1.0000000000000009
U56,CAP2,1.0,DEGROSS,20,0.6,0.60,4.382235444045851,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.19619266280326098,0.02918030310500747,0.02,0.7310429570902288,0.26895704290977085,1.0000000000000007
U56,CAP2,1.0,DEGROSS,20,inf,INF,3.9918738682526254,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.19626391905556853,0.02918030310500747,0.02,0.7500522904110477,0.249947709588952,1.0000000000000007
U56,CAP2,1.0,DEGROSS,60,0.3,0.30,3.8199424806495648,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.1963117590587395,0.02416478001619436,0.02,0.6030781131496519,0.3969218868503478,1.0000000000000007
U56,CAP2,1.0,DEGROSS,60,0.4,0.40,3.9640117747312926,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.1961780581473612,0.026432630903781562,0.02,0.6801242719622332,0.3198757280377665,1.0000000000000009
U56,CAP2,1.0,DEGROSS,60,0.6,0.60,4.031556880531527,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.19613836795819134,0.028364985200783295,0.02,0.7281988881948667,0.27180111180513306,1.0000000000000007
U56,CAP2,1.0,DEGROSS,60,inf,INF,3.9918738682526254,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.19626391905556853,0.02918030310500747,0.02,0.7500522904110477,0.249947709588952,1.0000000000000007
U56,CAP2,1.0,RESPREAD,20,0.3,0.30,5.633070251744812,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.2075700656149861,0.028222045514373413,0.02,0.6187194312642017,0.38128056873579813,1.0000000000000007
U56,CAP2,1.0,RESPREAD,20,0.4,0.40,4.935139579537097,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.20425154310918558,0.02918030310500747,0.02,0.6887373804983146,0.31126261950168516,1.0000000000000013
U56,CAP2,1.0,RESPREAD,20,0.6,0.60,4.38643894726605,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.20095643846380512,0.02918030310500747,0.02,0.7315323059451913,0.26846769405480847,1.0000000000000007
U56,CAP2,1.0,RESPREAD,20,inf,INF,3.9918738682526254,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.19626391905556853,0.02918030310500747,0.02,0.7500522904110477,0.249947709588952,1.0000000000000007
U56,CAP2,1.0,RESPREAD,60,0.3,0.30,3.823079485445011,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.207489599845207,0.02416478001619436,0.02,0.6040991614754273,0.39590083852457253,1.0000000000000007
U56,CAP2,1.0,RESPREAD,60,0.4,0.40,3.975365857379968,0.9363391215526047,38.450337078651685,34.949438202247194,0.09104988778754441,34.055280898876404,0.2064917582780146,0.026432630903781562,0.02,0.6812260585730767,0.31877394142692295,1.0000000000000009
U56,CAP2,1.0,RESPREAD,60,0.6,0.60,4.033916588556302,0.980126659856997,38.450337078651685,37.35820224719101,0.028403777819337946,36.46359550561798,0.20061258574043375,0.028364985200783295,0.02,0.7287385840198597,0.27126141598014014,1.0000000000000007
U56,CAP2,1.0,RESPREAD,60,inf,INF,3.9918738682526254,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.19626391905556853,0.02918030310500747,0.02,0.7500522904110477,0.249947709588952,1.0000000000000007
U56,CAND,0.75,DEGROSS,20,0.3,0.30,6.314684647085833,0.8794443309499489,38.450337078651685,31.82943820224719,0.1721935197306901,30.926067415730337,0.0,0.15556226408537907,0.017068045699827387,0.5829829107069135,0.41701708929308634,1.0000000000000013
U56,CAND,0.75,DEGROSS,20,0.4,0.40,5.677417734397122,0.9433503575076608,38.450337078651685,35.31438202247191,0.08155858425285206,34.440898876404496,0.0,0.16953156346475995,0.01710001517706465,0.6576578058756368,0.34234219412436306,1.000000000000001
U56,CAND,0.75,DEGROSS,20,0.6,0.60,4.970302679282279,0.9827129724208375,38.450337078651685,37.50247191011236,0.024651673835795772,36.60584269662921,0.0,0.16953156346475995,0.01713234261369314,0.7069005948266291,0.29309940517337074,1.0000000000000013
U56,CAND,0.75,DEGROSS,20,inf,INF,4.39457281063272,1.0,38.450337078651685,38.450337078651685,0.0,37.55662921348315,0.0,0.16905762295184193,0.01715700329088208,0.7307389305908643,0.2692610694091357,1.0000000000000013
U56,CAND,0.75,DEGROSS,60,0.3,0.30,4.518303416471636,0.866173646578141,38.450337078651685,31.1,0.1911644380026183,30.1961797752809,0.0,0.15556226408537907,0.017054871258469963,0.5680255760223621,0.43197442397763786,1.000000000000001
