correction,domain,n,n_states_domain,share_states_domain,n_k_recovered,median_k,max_k,share_in_domain_tabulated,n_out_with_verdict
D2,"k in [2,12] (Hartley table)",279,17,0.06093189964157706,136,18.0,272832.0,0.17204301075268819,67
SUBSAMPLE,"matched size m, 1 <= m <= min(pool sizes); both sizes stated",452,4,0.008849557522123894,229,30.0,52677.0,0.5066371681415929,101
SE_SQRTN,n >= 2 exchangeable draws,13,2,0.15384615384615385,6,19.0,4335.0,0.46153846153846156,2
BLOCK_L,1 <= L <= T/2 (T = 4198..4706 rows here -> L <= 2099),446,5,0.011210762331838564,231,40.0,191276.0,0.5,90
MULTTEST,"m >= 2 simultaneous tests, m stated",13,2,0.15384615384615385,12,72.0,480.0,0.9230769230769231,0
ANNUAL,"p periods per year, p stated and matching the bar frequency",1791,10,0.005583472920156337,639,24.0,70411.0,0.3411501954215522,323
