panel,k,q,seed,CAGR,Sharpe,MaxDD,Sharpe_H1,Sharpe_H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,v2_H1,v2_H2,v2_MaxDD,v2_OOS_Sharpe,SPY_H1,SPY_H2,SPY_MaxDD,SPY_CAGR,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,book,block,p4a,p4b
k20~q0.250~s00,20,0.25,0,0.1389268016237554,1.169343198180734,-0.2191647462184748,1.2040254331705251,1.143034490218943,1.05247162794396,1.2377205974419885,0.1517233069593104,-0.2191647462184763,1.151470328602524,1.1957054376688807,-0.121251543027685,1.2678238857708928,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s01,20,0.25,1,0.1407126079797247,0.9531780631051912,-0.230319580290889,0.9648561407075724,0.9439026758552164,0.8485309344035501,1.0163385972923256,0.1528093866792703,-0.2148759016723771,0.9424155469206836,0.6906067725220386,-0.1696408781213351,0.8157333665995065,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s02,20,0.25,2,0.1092649275577859,0.8499646672813622,-0.1909987560990567,1.073141509768731,0.6641358017937743,0.9163209913543876,0.8164296776353144,0.1090746342099511,-0.1909987560990564,1.1345284585679936,0.936396502606439,-0.1265873805830791,1.149750813341153,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s03,20,0.25,3,0.0750404692537516,0.6610525485199646,-0.2262626755826591,0.8063209880906884,0.5395466606415861,0.6948404652350728,0.6420546823522447,0.0743316270533773,-0.2193951930800697,0.7750508419919023,0.7759080621478053,-0.1019552917833778,0.8100069980448638,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s04,20,0.25,4,0.1289562178576098,0.9268221506536188,-0.332037421480472,1.2561771322928847,0.6864866706639414,1.111667466150719,0.8343339140619349,0.1206392206738979,-0.3320374214804736,1.2900048577481322,0.8645197907668076,-0.1838813088992187,1.0466349364570269,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s05,20,0.25,5,0.1043719761422468,0.8454661990052685,-0.2119994638424115,0.910861429528096,0.7899082665492516,0.893440132914605,0.8176349769570255,0.1023916218757603,-0.211999463842412,1.2223954651648832,0.9780287544721172,-0.1311673390664278,0.9957786187778026,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s06,20,0.25,6,0.1393809079688608,0.986945102587092,-0.252266359593955,1.0382198784899987,0.9464626932318806,0.9666624508158586,0.9991192434231504,0.1439050529610404,-0.2522663595939549,1.168002431946612,1.0788579563207137,-0.1244418123176116,1.0976847982208744,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s07,20,0.25,7,0.0985159342375765,0.8188833307525036,-0.2609836030978311,1.039136982927566,0.6201468969856454,1.027685616992221,0.6880597213472356,0.0804137515020457,-0.2609836030978313,1.0494002735462973,0.9662086738830358,-0.1283400670914396,0.996447352226687,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s08,20,0.25,8,0.1179302053632218,0.8825221874837351,-0.3179153823273363,0.8653398270448499,0.9156290493938148,0.6650703066734304,0.9958528109688604,0.1469657160208324,-0.3179153823273365,1.0785347567106849,0.8893915076146975,-0.119581220861161,1.0307684919746314,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s09,20,0.25,9,0.1025359615029117,0.7778506020381538,-0.2573313033673221,0.7194514446137764,0.8326618679892025,0.6502895132459103,0.8499661779589113,0.1179317112133924,-0.2573313033673219,0.9019592937399566,1.065969507071969,-0.1227940998784609,1.040411061881542,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s10,20,0.25,10,0.1586988501474746,1.047972309918979,-0.3925784897323482,1.3729192475889165,0.7518983475031368,1.2954401256519377,0.8980646661401251,0.1336230815158459,-0.3925784897323491,1.2694292110334602,0.9026922790267824,-0.1715586416542078,1.0316921407110995,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s11,20,0.25,11,0.1030189226903253,0.8430248723681143,-0.2670753249269826,0.917166193069872,0.7864705606667158,0.6680384164719377,0.9409808643376028,0.121620466677593,-0.2670753249269829,0.9968652777411444,1.031448546776934,-0.1257901575569621,1.1872934121153338,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s12,20,0.25,12,0.0863491376528331,0.7288560613551636,-0.2419703241657148,0.797139735132422,0.679795104713694,0.7549889863437677,0.7172693868908749,0.088832810025333,-0.2419703241657139,0.9572230520729976,0.7355222605106435,-0.1225464665722264,0.7791766473648298,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s13,20,0.25,13,0.1093020240827102,0.9108011845884232,-0.2757194038185847,1.1296241500446516,0.7245606740521979,1.0434698839241647,0.8373497562792964,0.10265493576762,-0.2757194038185849,1.099356272824726,0.9359705719048153,-0.1651125559673281,0.982435769891206,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s14,20,0.25,14,0.1027289348504223,0.8436406378369066,-0.2462950160839137,1.004635098140811,0.7120563911195879,0.8852579485470112,0.8216333466801844,0.1031265661421176,-0.246295016083914,1.0251090575075592,0.8875096821658388,-0.1456271586891019,1.02076363291384,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s15,20,0.25,15,0.0974307657092576,0.7758222600645159,-0.2416593450154144,0.8255488276612806,0.735563862777488,0.6478295543748532,0.8497669208636117,0.111055191721811,-0.2416593450154133,0.8953004618242633,0.8456463848248218,-0.1495358321130674,0.9638498544114448,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s16,20,0.25,16,0.093728216242596,0.8516610368598798,-0.2043062248193508,0.8794043889348344,0.8263439802696104,0.8014193165573824,0.8826012821767488,0.0974580675294176,-0.2043062248193508,0.822505275969947,1.0153090659350288,-0.1283300039988255,1.0204709767527136,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
k20~q0.250~s17,20,0.25,17,0.1039899118205567,0.8178686863004306,-0.2342568370606599,0.9702292739793296,0.7197183659501644,0.9438193788575788,0.7604362863740489,0.102221276437727,-0.2342568370606597,0.959767050423916,0.7134559225208085,-0.1499749217790597,0.752337404808609,0.8907051771707777,0.8577251101701436,-0.33715953307393,0.1413010952737714,0.8820239235972316,0.1545044425578177,-0.3371595330739301,EWall,A,False,False
