panel,chooser,picked_book,picked_phase,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,oos_rank,n_grid,spy_oos_CAGR,spy_oos_Sharpe,beats_spy_oos,pass4b,pass4a
U56,CH_CANON_TOP20,TOP20_g075,DOM00,1.097935074502241,0.12330878040452298,0.16666929967619315,1.28252208770893,-0.19506862228731392,17,270,0.15271636385461385,0.8741369266172683,True,True,False
U56,CH_CANON_RULESV2_W,RULESV2,DOW0,1.1045467696915068,0.07609485171306529,0.09464348447629667,1.2774465281362168,-0.1205494795164489,20,270,0.15271636385461385,0.8741369266172683,True,False,False
U56,CH_IS_SHARPE_ANY,TOP05_g075,DOM01,1.3256276046922895,0.23104500049590504,0.19035037784451725,0.9883502947582123,-0.2521525702760917,257,270,0.15271636385461385,0.8741369266172683,True,False,False
U56,CH_IS_SHARPE_MONTHLY,TOP05_g075,DOM01,1.3256276046922895,0.23104500049590504,0.19035037784451725,0.9883502947582123,-0.2521525702760917,257,270,0.15271636385461385,0.8741369266172683,True,False,False
U56,CH_IS_CAGR_ANY,TOP05_g075,DOM01,1.3256276046922895,0.23104500049590504,0.19035037784451725,0.9883502947582123,-0.2521525702760917,257,270,0.15271636385461385,0.8741369266172683,True,False,False
U56,CH_IS_MINDD_ANY,RULESV2,DOM19,1.1020588959660595,0.07811656787813215,0.09725855447856002,1.2339525342519868,-0.13598556466310097,56,270,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_TOP05_g075,TOP05_g075,(mean of 21),1.145613851348197,0.19334029684699375,0.19706536142828499,1.0120325735844353,-0.23184279548122796,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_TOP10_g075,TOP10_g075,(mean of 21),1.0382773442994664,0.13897021344718696,0.17002018942395633,1.066393561368941,-0.22506907384534336,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_TOP20_g075,TOP20_g075,(mean of 21),1.0370858066015642,0.11599619738027263,0.1551184016844343,1.1752892321007709,-0.20685461293956953,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_TOP40_g075,TOP40_g075,(mean of 21),1.0178700623258092,0.08879661857737856,0.11752188648686447,1.1968454339283237,-0.17936994365359865,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_TOP20_g100,TOP20_g100,(mean of 21),1.0380649485960265,0.15492616904513745,0.20793184080491262,1.171915896507876,-0.27176184627990585,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_BAND03_g075,BAND03_g075,(mean of 21),1.0886073281973674,0.07806449617325509,0.0950749795525922,1.1897041879386965,-0.1597743877583695,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_BAND03_g100,BAND03_g100,(mean of 21),1.088843775883669,0.10435088761172515,0.12720614219857523,1.1842389022191884,-0.2110351240034077,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_BAND06_g075,BAND06_g075,(mean of 21),1.048356635771019,0.07525578320187776,0.09328869673292164,1.1435342333724792,-0.17298146964779618,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
U56,MEAN_DOM_RULESV2,RULESV2,(mean of 21),1.0886073281973674,0.07806449617325509,0.0950749795525922,1.1897041879386965,-0.1597743877583695,-1,21,0.15271636385461385,0.8741369266172683,True,False,False
