m_min,split,model,k,n_test,coverage,mean_width,median_width,rho_w_err,oos_logsd_R2
8,corpus A -> corpus B,SHARE,0.25,385,0.35064935064935066,0.010741923301038717,0.0005497685893632761,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,0.5,385,0.43116883116883115,0.021483846602077434,0.0010995371787265523,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,0.75,385,0.4909090909090909,0.03222576990311616,0.0016493057680898285,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,1.0,385,0.5402597402597402,0.04296769320415487,0.0021990743574531045,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,1.25,385,0.5662337662337662,0.05370961650519359,0.0027488429468163805,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,1.5,385,0.5974025974025974,0.06445153980623232,0.003298611536179657,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,1.75,385,0.6233766233766234,0.07519346310727103,0.003848380125542933,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,2.0,385,0.6467532467532467,0.08593538640830974,0.004398148714906209,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,2.5,385,0.6935064935064935,0.10741923301038718,0.005497685893632761,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,3.0,385,0.7168831168831169,0.12890307961246464,0.006597223072359314,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,4.0,385,0.7688311688311689,0.17187077281661947,0.008796297429812418,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,6.0,385,0.7974025974025974,0.2578061592249293,0.013194446144718628,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,10.0,385,0.8311688311688312,0.4296769320415487,0.021990743574531044,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,15.0,385,0.8649350649350649,0.644515398062323,0.03298611536179657,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,25.0,385,0.8883116883116883,1.0741923301038716,0.054976858936327616,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,40.0,385,0.9142857142857143,1.7187077281661949,0.08796297429812418,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,60.0,385,0.9272727272727272,2.578061592249292,0.13194446144718627,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,SHARE,100.0,385,0.9532467532467532,4.296769320415486,0.21990743574531046,0.7005477523309053,0.5173145430750467
8,corpus A -> corpus B,CONST,0.25,385,0.2909090909090909,0.0004471521096138904,0.0004471521096138905,,-0.024522132461555657
8,corpus A -> corpus B,CONST,0.5,385,0.3194805194805195,0.0008943042192277808,0.000894304219227781,,-0.024522132461555657
8,corpus A -> corpus B,CONST,0.75,385,0.33506493506493507,0.001341456328841671,0.0013414563288416713,,-0.024522132461555657
8,corpus A -> corpus B,CONST,1.0,385,0.36363636363636365,0.0017886084384555617,0.001788608438455562,,-0.024522132461555657
8,corpus A -> corpus B,CONST,1.25,385,0.37402597402597404,0.002235760548069453,0.0022357605480694525,,-0.024522132461555657
8,corpus A -> corpus B,CONST,1.5,385,0.38441558441558443,0.002682912657683342,0.0026829126576833427,,-0.024522132461555657
8,corpus A -> corpus B,CONST,1.75,385,0.3948051948051948,0.0031300647672972337,0.0031300647672972332,,-0.024522132461555657
8,corpus A -> corpus B,CONST,2.0,385,0.4,0.0035772168769111234,0.003577216876911124,,-0.024522132461555657
8,corpus A -> corpus B,CONST,2.5,385,0.42077922077922075,0.004471521096138906,0.004471521096138905,,-0.024522132461555657
8,corpus A -> corpus B,CONST,3.0,385,0.44155844155844154,0.005365825315366684,0.005365825315366685,,-0.024522132461555657
8,corpus A -> corpus B,CONST,4.0,385,0.4805194805194805,0.007154433753822247,0.007154433753822248,,-0.024522132461555657
8,corpus A -> corpus B,CONST,6.0,385,0.548051948051948,0.010731650630733367,0.01073165063073337,,-0.024522132461555657
8,corpus A -> corpus B,CONST,10.0,385,0.6415584415584416,0.017886084384555623,0.01788608438455562,,-0.024522132461555657
8,corpus A -> corpus B,CONST,15.0,385,0.7246753246753247,0.026829126576833433,0.02682912657683343,,-0.024522132461555657
8,corpus A -> corpus B,CONST,25.0,385,0.8207792207792208,0.044715210961389036,0.04471521096138905,,-0.024522132461555657
8,corpus A -> corpus B,CONST,40.0,385,0.8961038961038961,0.0715443375382225,0.07154433753822248,,-0.024522132461555657
8,corpus A -> corpus B,CONST,60.0,385,0.9428571428571428,0.10731650630733373,0.10731650630733372,,-0.024522132461555657
