key,value
G0_draws_differ,0
G1_chars_max_d,2.220446049250313e-16
G2_backtest_max_d,2.7755575615628914e-17
G3_anchor_max_d,1.5783788641669447e-07
H_PARENT,PASS
H_LAW,FAIL
H_LAW_monotone_curves,1/18
H_LAW_common_rung,FAIL
H_LAW_common_rung_curves,0/18
H_RATIO,FAIL
H_RATIO_slope_R2,-0.1420/0.0714
H_THIN,FAIL
H_FAT,PASS
H_THIN_fat_arm_flat_curves,16/18
thin_arm_flat_curves,16/18
NO_LAW_both_arms_flat,YES
median_rep_sd_over_resid,0.4282
anchor_resampled_mean_momac,0.006897301610988481
anchor_committed_momac,0.0027111023034787074
anchor_redraws_n,40
anchor_redraw_mean_momac,0.00681956058778833
anchor_redraw_sd_momac,0.0018657318475578297
anchor_redraws_below_committed_momac,1/40
H_REEST,PASS
H_REEST_span_frozen_vs_reest,1.755/9.491
H_ENTITLE,PASS
entitled_resid_mean_n134_k36,0.004928412504996177
entitled_resid_p90_n134_k36,0.007661405841859749
books,29808
keep4a,310
keep4b,563
keep_both,16
wfb_beat_v2_oos,0/18
wfb_beat_spy_oos,9/18
runtime_s,1598.9
