panel,N,ebar,d_CAGR_pp,d_absDD_pp,dominates
U56,30,0.55,-1.0643435130619494,2.031023815496946,False
U56,40,0.55,-1.4387549017213175,3.440650130390299,False
U56,50,0.55,-1.7256916868102934,3.4426923360083794,False
U56,30,0.65,-1.2658532995837968,2.3606796772492333,False
U56,40,0.65,-1.705547416052955,3.982003587290317,False
U56,50,0.65,-2.042315669998107,3.9870056840769608,False
U56,30,0.75,-1.4692389539840311,2.678708581162925,False
U56,40,0.75,-1.9728850764739958,4.498840785234215,False
U56,50,0.75,-2.358425603805525,4.507503965787785,False
U56,30,0.85,-1.6742264427257236,2.9853796572604674,False
U56,40,0.85,-2.24029987866039,4.991808116421681,False
U56,50,0.85,-2.6733871285900213,5.004751033291932,False
B136,30,0.55,0.07920133642080884,2.5738206851416034,False
B136,40,0.55,-0.32878964149052337,3.7110715886126355,False
B136,50,0.55,-0.5514510154010166,4.6621211645066385,False
B136,30,0.65,0.10602320212531602,2.922817251117882,False
B136,40,0.65,-0.37769142483101703,4.222475107623314,False
B136,50,0.65,-0.6398154978547232,5.315154948181078,False
B136,30,0.75,0.137184991425765,3.237429309074036,False
B136,40,0.75,-0.42242116415849296,4.687082913176233,False
B136,50,0.75,-0.7234148764907022,5.912396730962277,False
B136,30,0.85,0.17287217875650018,3.518712764223919,False
B136,40,0.85,-0.4626260188487219,5.1061961123778365,False
B136,50,0.85,-0.801828816504746,6.455461445292309,False
