sleeve,n_assets,ownSharpe_broad,ownSharpe_u56,corr_broad,corr_u56,corr_MEAN,own_MEAN
S4,4,0.6181287369493187,0.6156972714049787,0.05134062111341874,0.14634829318148793,0.09884445714745334,0.6169130041771487
S5f,5,0.933753446020867,0.9319636661717315,0.4165829444473037,0.517959052702769,0.46727099857503634,0.9328585560962992
S5r,5,0.6998827960975934,0.697284360110703,0.258406354388591,0.3605380939609785,0.30947222417478476,0.6985835781041483
S6f,6,1.083484137735051,1.082899478927227,0.6090463236234451,0.7069874623949985,0.6580168930092218,1.0831918083311391
S6r,6,0.6793403651833014,0.6786938284624434,0.4215383575414942,0.5166980449581411,0.4691182012498176,0.6790170968228724
S7f,7,1.0082185903874767,1.007938039446709,0.6750060060843386,0.7612938319352139,0.7181499190097762,1.0080783149170929
S7r,7,0.6976075178582808,0.6972062976947774,0.5432911205962494,0.628686144097385,0.5859886323468172,0.697406907776529
S8f,8,0.915754524824239,0.9163834855921267,0.7036557587159565,0.7825689373145582,0.7431123480152574,0.9160690052081828
S8r,8,0.8325550956430671,0.8327672157400998,0.6510514854123094,0.7344626465863304,0.6927570659993199,0.8326611556915835
S9,9,0.8679958017206246,0.8682380851121847,0.7061109658801855,0.782076107860851,0.7440935368705183,0.8681169434164047
X_DBC,1,0.33990802884529125,0.34039153091916324,0.24278430419901445,0.3067889130349068,0.27478660861696064,0.3401497798822273
X_GDX,1,0.20687145435022603,0.20697122092663903,0.2450897972389363,0.30955915749481655,0.27732447736687643,0.2069213376384325
X_GLD,1,0.6144027379580765,0.6144027379580765,0.13679340195443843,0.2145855942396877,0.17568949809706308,0.6144027379580765
X_HYG,1,0.7882558433448773,0.7881536310260518,0.5256496276180084,0.530731384778678,0.5281905061983432,0.7882047371854646
X_QQQ,1,0.9097285248679332,0.9114521407332261,0.7345472749549344,0.7810663217743944,0.7578067983646644,0.9105903328005797
X_SHY,1,0.9185341948977047,0.9301520921104808,-0.09881314269847975,-0.06408263353696282,-0.08144788811772129,0.9243431435040927
X_SLV,1,0.3031481929406574,0.3031481929406574,0.20915016988016363,0.28323986946184937,0.2461950196710065,0.3031481929406574
X_TLT,1,0.11431595750596166,0.11439031405367925,-0.17467728921390768,-0.11804208063339298,-0.14635968492365034,0.11435313577982045
X_UNG,1,-0.26133656337356964,-0.2613365686717097,0.030795477144250943,0.04822059931814881,0.039508038231199874,-0.26133656602263966
X_USO,1,0.1717000602019487,0.1717000602019487,0.16772561199412536,0.22189414623515524,0.19480987911464032,0.1717000602019487
