panel,ladder,stat,n,GAP,SD,RATIO,argmax
SMALL663,H,MaxDD,252,0.1561025070844193,0.07948768157380885,1.9638578455640225,126
SMALL663,H,MaxDD,504,0.11069380136800855,0.08324319753297633,1.3297639284478207,252
SMALL663,H,MaxDD,1008,0.11069380136800877,0.09078722550093388,1.2192662652398176,252
SMALL663,H,MaxDD,2016,0.06435120508796766,0.11362917731258765,0.5663264190582056,1
SMALL663,H,MaxDD,3938,0.06435120508796799,0.09484514371370495,0.6784870850342689,1
SMALL663,CADENCE,Sharpe,252,0.7572165396273441,0.6600282053495239,1.147248759204697,W
SMALL663,CADENCE,Sharpe,504,0.4280565936721658,0.5069007585375858,0.8444583805854103,Q
SMALL663,CADENCE,Sharpe,1008,0.1583838823720901,0.38096166603781534,0.4157475580662976,W
SMALL663,CADENCE,Sharpe,2016,0.1610911074798057,0.34561848644983373,0.4660951708183236,M
SMALL663,CADENCE,Sharpe,3938,0.24398339567289562,0.23153499308846082,1.0537646703782644,W
SMALL663,CADENCE,CAGR,252,0.22903226615150085,0.18695052987243002,1.2250955710464488,W
SMALL663,CADENCE,CAGR,504,0.15432795217224815,0.1877507637924918,0.8219830857402869,Q
SMALL663,CADENCE,CAGR,1008,0.05078591713850966,0.12003319880554861,0.42309892299697716,W
SMALL663,CADENCE,CAGR,2016,0.06238420853769733,0.13322641739578778,0.4682570450901409,M
SMALL663,CADENCE,CAGR,3938,0.07700180946593083,0.07432985460831326,1.0359472633398468,W
SMALL663,CADENCE,MaxDD,252,0.1689296777871191,0.10287793575476925,1.642039923796661,W
SMALL663,CADENCE,MaxDD,504,0.11015487723976325,0.11363708294433525,0.9693567837685718,Q
SMALL663,CADENCE,MaxDD,1008,0.11015487723976103,0.1208249172455162,0.9116900698216607,Q
SMALL663,CADENCE,MaxDD,2016,0.16479364709300204,0.11714022750635418,1.4068066163185737,W
SMALL663,CADENCE,MaxDD,3938,0.1647936470930026,0.10548817413891497,1.5622002033705655,W
