panel,ladder,stat,n,GAP,SD,RATIO,argmax
U56,H,Sharpe,252,0.2808661918221973,0.47660866256597245,0.5893014833386911,1
U56,H,Sharpe,504,0.17129017699109905,0.5639841733854243,0.30371451021913715,1
U56,H,Sharpe,1008,0.05113276718249149,0.41656736214649986,0.12274789584813642,1
U56,H,Sharpe,2016,0.05223205951956422,0.3168065043353682,0.164870540234464,21
U56,H,Sharpe,4447,0.032450980238107,0.20890715805789947,0.1553368517373305,21
U56,H,CAGR,252,0.05572289930056673,0.09808481104934676,0.5681093607096044,1
U56,H,CAGR,504,0.03859386585081359,0.1150480869215826,0.33545856244545275,126
U56,H,CAGR,1008,0.012306575683578957,0.08982685474173824,0.13700330172932884,126
U56,H,CAGR,2016,0.017435752570814866,0.06894805279769893,0.2528824508209573,126
U56,H,CAGR,4447,0.016158894295682513,0.040496316025885666,0.3990213402461987,63
U56,H,MaxDD,252,0.030533696971683733,0.023188117644383516,1.316782045009135,21
U56,H,MaxDD,504,0.03226094520550549,0.05701002070521102,0.5658820117312581,1
U56,H,MaxDD,1008,0.03226094520550593,0.04762051110532342,0.6774590288238114,1
U56,H,MaxDD,2016,0.049160153790805294,0.06730506171185408,0.7304079743848891,1
U56,H,MaxDD,4447,0.049160153790805294,0.056705691226855544,0.866935094647489,1
U56,CADENCE,Sharpe,252,0.11175908608724083,0.47205197587472014,0.23675165405281778,W
U56,CADENCE,Sharpe,504,0.15069419864856615,0.5938617939238624,0.2537529778652275,D
U56,CADENCE,Sharpe,1008,0.06561628625065685,0.42306910229412437,0.15509590725214287,W
U56,CADENCE,Sharpe,2016,0.20041602637315403,0.33962768134325894,0.5901050985611364,M
U56,CADENCE,Sharpe,4447,0.19608881153798707,0.21817098409995928,0.8987850164719666,M
U56,CADENCE,CAGR,252,0.019303949365187867,0.1050749918669538,0.18371592538051842,M
U56,CADENCE,CAGR,504,0.007927208056247137,0.12515248300017787,0.06334039777889082,M
U56,CADENCE,CAGR,1008,0.0038431798989890797,0.09629276916246851,0.03991140697703618,W
U56,CADENCE,CAGR,2016,0.05540934351562177,0.0716340979348419,0.7735051478699695,M
U56,CADENCE,CAGR,4447,0.04897092893770938,0.041404137286590634,1.1827544817258966,M
U56,CADENCE,MaxDD,252,0.03848875594168932,0.02162697176493729,1.7796645947487288,D
U56,CADENCE,MaxDD,504,0.042789056347034116,0.05640242337638793,0.7586386148958831,D
U56,CADENCE,MaxDD,1008,0.042789056347034116,0.045318324035473936,0.944188852031245,D
U56,CADENCE,MaxDD,2016,0.07820981624425283,0.07426612459173099,1.0531021602945059,W
U56,CADENCE,MaxDD,4447,0.07820981624425294,0.05978739261130813,1.3081322470895045,W
B136,H,Sharpe,252,0.2636397094120506,0.5931239308319519,0.4444934620025421,1
B136,H,Sharpe,504,0.3151136853950205,0.5641018577959215,0.5586113235404749,126
B136,H,Sharpe,1008,0.19932973932942177,0.39749502757493166,0.5014647366672937,126
B136,H,Sharpe,2016,0.14429677157358367,0.29966102069376443,0.48153333803480003,252
B136,H,Sharpe,4443,0.13925226347426078,0.20258463117066947,0.6873782214848584,126
B136,H,CAGR,252,0.17883257808119724,0.21129903332288047,0.8463483020669001,1
B136,H,CAGR,504,0.08611394639638692,0.14989732223739846,0.5744862223756391,126
B136,H,CAGR,1008,0.04531875452503176,0.10267915938978071,0.4413627341162492,126
B136,H,CAGR,2016,0.04280637514909236,0.07764416225230107,0.5513147918319351,126
B136,H,CAGR,4443,0.040547212645183794,0.04479451158621309,0.9051826040595444,126
B136,H,MaxDD,252,0.05972401754759138,0.03298224598754063,1.810792920838463,252
B136,H,MaxDD,504,0.04746095429852448,0.05628434130925428,0.8432354931143335,1
B136,H,MaxDD,1008,0.047460954298524594,0.05109975239267411,0.9287902989003292,1
B136,H,MaxDD,2016,0.037381354374155906,0.07994688062115908,0.4675773974383486,1
B136,H,MaxDD,4443,0.03738135437415624,0.06506697694677184,0.5745057804781083,1
B136,CADENCE,Sharpe,252,0.293016604870461,0.6570757939926326,0.44594034287884055,D
B136,CADENCE,Sharpe,504,0.14975985358922328,0.5552615155920063,0.2697104866515969,W
B136,CADENCE,Sharpe,1008,0.13929853529375702,0.40749541638619674,0.34184074149619204,W
B136,CADENCE,Sharpe,2016,0.26122515110818734,0.3069012914577346,0.8511699311117509,M
B136,CADENCE,Sharpe,4443,0.3141997545778864,0.20205638493877803,1.5550102743503365,M
B136,CADENCE,CAGR,252,0.07250054305772347,0.2509763114509998,0.28887404806679673,D
B136,CADENCE,CAGR,504,0.02694741168394854,0.16563671173773056,0.16268984937721487,W
B136,CADENCE,CAGR,1008,0.043122944839716126,0.10535508220616438,0.40931053288279795,M
B136,CADENCE,CAGR,2016,0.07837958058985883,0.07445598492113117,1.0526968473103109,M
B136,CADENCE,CAGR,4443,0.08667289452456184,0.044776200764187014,1.9356911271017152,M
B136,CADENCE,MaxDD,252,0.0254337706041744,0.03805224582813439,0.6683907887867588,D
B136,CADENCE,MaxDD,504,0.050124023014886165,0.05311283325247471,0.9437271549160053,D
B136,CADENCE,MaxDD,1008,0.05012402301488694,0.05027056160799824,0.9970850018694045,D
B136,CADENCE,MaxDD,2016,0.042938934965944586,0.09027964367526932,0.47562144928698946,W
B136,CADENCE,MaxDD,4443,0.04293893496594492,0.06928867280778549,0.619710743847877,W
SMALL663,H,Sharpe,252,0.9223097317480613,0.5962884880590108,1.5467508600581708,252
SMALL663,H,Sharpe,504,0.879419198715969,0.5171617839798937,1.700472126823198,252
SMALL663,H,Sharpe,1008,0.611822264515897,0.35488096711436184,1.7240210696301863,252
SMALL663,H,Sharpe,2016,0.1887476877481452,0.33593798112386547,0.5618527774582031,126
SMALL663,H,Sharpe,3938,0.06372404680397836,0.22667913480327692,0.2811200371806658,252
SMALL663,H,CAGR,252,0.2951401508538166,0.19164732220075084,1.5400170869314673,252
SMALL663,H,CAGR,504,0.30695323982696054,0.19314858921351186,1.589207775613861,252
SMALL663,H,CAGR,1008,0.18249794223171922,0.11284219838977654,1.6172845339412802,252
SMALL663,H,CAGR,2016,0.06470747339562344,0.12612828377741375,0.5130290483442767,126
SMALL663,H,CAGR,3938,0.015356488634384213,0.06953360442533783,0.2208498863434204,42
