base,panel,ladder,inf_count,committed_lo,committed_hi,inside
11181118,U56,N,1,0,1,True
11181118,U56,H,3,3,4,True
11181118,U56,GROSS,1,1,2,True
11181118,U56,CADENCE,4,4,4,True
11181118,B136,N,2,2,2,True
11181118,B136,H,4,4,4,True
11181118,B136,GROSS,0,0,0,True
11181118,B136,CADENCE,4,3,4,True
11161116,U56,N,0,0,1,True
11161116,U56,H,3,3,4,True
11161116,U56,GROSS,1,1,2,True
11161116,U56,CADENCE,4,4,4,True
11161116,B136,N,2,2,2,True
11161116,B136,H,4,4,4,True
11161116,B136,GROSS,0,0,0,True
11161116,B136,CADENCE,4,3,4,True
11191119,U56,N,1,0,1,True
11191119,U56,H,3,3,4,True
11191119,U56,GROSS,1,1,2,True
11191119,U56,CADENCE,4,4,4,True
11191119,B136,N,2,2,2,True
11191119,B136,H,4,4,4,True
11191119,B136,GROSS,0,0,0,True
11191119,B136,CADENCE,4,3,4,True
11091109,U56,N,1,0,1,True
11091109,U56,H,3,3,4,True
11091109,U56,GROSS,1,1,2,True
11091109,U56,CADENCE,4,4,4,True
11091109,B136,N,2,2,2,True
11091109,B136,H,4,4,4,True
11091109,B136,GROSS,0,0,0,True
11091109,B136,CADENCE,4,3,4,True
10821082,U56,N,0,0,1,True
10821082,U56,H,3,3,4,True
10821082,U56,GROSS,1,1,2,True
10821082,U56,CADENCE,4,4,4,True
10821082,B136,N,2,2,2,True
10821082,B136,H,4,4,4,True
10821082,B136,GROSS,0,0,0,True
10821082,B136,CADENCE,3,3,4,True
10981098,U56,N,1,0,1,True
10981098,U56,H,4,3,4,True
10981098,U56,GROSS,1,1,2,True
10981098,U56,CADENCE,4,4,4,True
10981098,B136,N,2,2,2,True
10981098,B136,H,4,4,4,True
10981098,B136,GROSS,0,0,0,True
10981098,B136,CADENCE,4,3,4,True
11021102,U56,N,0,0,1,True
11021102,U56,H,4,3,4,True
11021102,U56,GROSS,2,1,2,True
11021102,U56,CADENCE,4,4,4,True
11021102,B136,N,2,2,2,True
11021102,B136,H,4,4,4,True
11021102,B136,GROSS,0,0,0,True
11021102,B136,CADENCE,4,3,4,True
11081108,U56,N,1,0,1,True
11081108,U56,H,3,3,4,True
11081108,U56,GROSS,1,1,2,True
11081108,U56,CADENCE,4,4,4,True
11081108,B136,N,2,2,2,True
11081108,B136,H,4,4,4,True
11081108,B136,GROSS,0,0,0,True
11081108,B136,CADENCE,4,3,4,True
