seed_offset,panel,n_unres,eta2_lad,eta2_stat,concord_within_ladder,concord_within_stat,lad_wins
1,U56,10.0,0.7333333333333333,0.06666666666666667,0.8333333333333334,0.41666666666666663,True
1,B136,10.0,0.7333333333333333,0.06666666666666667,0.8333333333333333,0.41666666666666663,True
2,U56,9.0,0.8095238095238095,0.047619047619047616,0.875,0.37499999999999994,True
2,B136,10.0,0.7333333333333333,0.06666666666666667,0.8333333333333333,0.41666666666666663,True
3,U56,10.0,0.6,0.06666666666666667,0.75,0.41666666666666663,True
3,B136,9.0,0.5555555555555556,0.047619047619047616,0.7083333333333333,0.37499999999999994,True
