form,reading,n,med_err,med_abs,max_abs,binding_agree,n_live,flips_10,flips_25,flips_50,flips_total
F_RAW,full,9,-40.453626085599424,40.453626085599424,77.20403667315716,0.3333333333333333,9,3,7,5,15
F_RAW,oos,10,-48.830978827443765,48.830978827443765,110.22991732665866,0.3,10,4,7,7,18
F_UNIT,full,9,0.8138896413562691,1.6087502990913674,45.818188416908086,0.8888888888888888,9,0,2,1,3
F_UNIT,oos,10,0.9865667271039769,6.356067831858915,46.893630043570546,0.7,10,1,2,1,4
F_K1,full,9,-48.447587696642955,48.447587696642955,110.52845974330184,0.3333333333333333,9,8,8,5,21
F_K1,oos,10,-56.92764304391501,56.92764304391501,142.69528641095093,0.3,10,9,8,7,24
F_KLEG,full,9,-0.8356386300986074,1.342651998260834,44.02357910018016,1.0,9,0,2,1,3
F_KLEG,oos,10,-0.8715623908062406,2.012572474039154,44.56245988601275,1.0,10,0,2,1,3
