beta,q,rows,panel_vol,breadth_IS,rho,rho_raw,OOS_S_mean,OOS_S_sd
UNMATCHED,0.0,64,0.24630736513387075,0.7645532852564101,0.5787488281145423,0.5787488281145423,0.7038369778955726,0.14334836774512472
UNMATCHED,0.5,64,0.2529702843005396,0.7448217147435897,0.47586014756084594,0.47586014756084594,0.45844903357822864,0.22358374573457124
UNMATCHED,1.0,64,0.25745120346668016,0.7210036057692308,0.29353535334436914,0.29353535334436914,-0.036929185740559436,0.21387921507669602
0.20,0.0,64,0.2475934185489188,0.7542167467948717,0.6309497028072265,0.6309497028072265,0.7210803790583791,0.16550397694929594
0.20,0.5,64,0.25511456033615804,0.7498798076923077,0.6226278242330305,0.6226278242330305,0.4324114961375169,0.20266081651854392
0.20,1.0,64,0.25900529350408297,0.7407251602564103,0.252682494889225,0.252682494889225,0.01519822180162362,0.19028324226456425
0.12,0.0,64,0.24980133738059676,0.7441706730769231,0.8783364567855995,0.8783364567855995,0.791364845677287,0.14738450527690103
0.12,0.5,64,0.25571170931031123,0.7408052884615384,0.512173799520974,0.512173799520974,0.45073584877595674,0.19967306214846978
0.12,1.0,64,0.2596650197786038,0.7405248397435897,0.1263412474446125,0.1263412474446125,0.06547623845078274,0.21086349826491374
