panel,band,med_realised_gross,mean_realised_gross,med_target_gross,ann_turn
SMALL,0.0,0.4235378441893126,0.40458431236682546,0.41873082822085894,3.6684003241315155
SMALL,0.02,0.42329004557569533,0.40514718945829753,0.4201790903639467,2.94789206799401
SMALL,0.03,0.4239077803480034,0.4050598025141612,0.4181187148187971,2.6089132665309442
SMALL,0.04,0.42460881934566147,0.40561079965520797,0.41778933092224235,2.356440747520707
SMALL,0.06,0.43012213489481144,0.4080739370692532,0.42456847963928424,2.0052928219870836
SMALL,0.08,0.4393368327738946,0.411968622416282,0.4336309523809524,1.7734599256857866
U56,0.0,0.5798892166100214,0.5323131830234593,0.5700000000000001,3.132710759415104
U56,0.02,0.5780495447477765,0.532663256685587,0.5694444444444444,2.151590536075598
U56,0.03,0.5841720869576594,0.5328263556268771,0.5758928571428571,1.7735559161867935
U56,0.04,0.5723001613803269,0.5165107733609904,0.5660377358490567,1.5603041452024649
U56,0.06,0.565870330685831,0.5094285422496786,0.5590909090909091,1.2952189069024054
U56,0.08,0.5613595053176581,0.5081019802735354,0.5518867924528302,1.1250631459711897
