bps,panel,argmax_full,S_full,argmax_IS,argmax_OOS,S_at_0,S_at_012,S_at_050,S_OFF,OFF_beats_ladder,interior,peaked
0,U56,0.12,1.2010508528371313,0.00,0.12,1.1550935984443078,1.2010508528371313,1.097445175928107,1.1882028379101888,False,True,True
0,B136,0.50,1.1475183555087065,0.12,0.50,1.0454701923010825,1.0701928997175019,1.1475183555087065,1.043189290805234,False,False,False
0,SMALL439,0.50,0.6184029577462047,0.12,0.50,0.5700230108127359,0.553400262422315,0.6184029577462047,0.5430405864106845,False,False,False
0,ETF36,0.12,0.9009007860762339,0.12,0.12,0.7753990419215768,0.9009007860762339,0.2342715309999216,0.9258834013956458,True,True,True
10,U56,0.12,1.1297337430496086,0.12,0.50,1.0635392242670008,1.1297337430496086,1.0678097192238794,1.1049332814921398,False,True,True
10,B136,0.50,1.1048786896111056,0.50,0.50,0.9431848997615343,0.9715103650616691,1.1048786896111056,0.942337417971692,False,False,False
10,SMALL439,0.50,0.5128168148241368,0.12,0.50,0.44991579434596285,0.43580968144878074,0.5128168148241368,0.42391759373274146,False,False,False
10,ETF36,0.12,0.8558789288390451,0.12,0.12,0.6734526835109651,0.8558789288390451,0.22239219405573232,0.8548217673120502,False,True,True
25,U56,0.30,1.0464044648090447,0.30,0.50,0.9258519118821691,1.0225087653868812,1.0232411048951062,0.9797610271218405,False,True,True
25,B136,0.50,1.0407660849771412,0.50,0.50,0.7894767167611467,0.8232231654656926,1.0407660849771412,0.7908061838841254,False,False,False
25,SMALL439,0.50,0.3543707445230461,0.12,0.50,0.2697121599344528,0.25937192325823377,0.3543707445230461,0.24524344662748096,False,False,False
25,ETF36,0.12,0.7882190409381267,0.12,0.20,0.5203139119141659,0.7882190409381267,0.20455521376129635,0.7480921975284325,False,True,True
