panel,frame,G,F,era,mean_idle,pred_pp,real_pp,resid_pp
B136,INC,0.5,0.25,FULL,0.4995487899255523,0.16354371852255226,0.1758649902178666,0.01232127169531435
B136,INC,0.5,0.25,ERA_ZIRP,0.49959988210369444,0.11401981056206409,0.12133172962496275,0.007311919062898652
B136,INC,0.5,0.25,ERA_HIKE,0.49939912414576476,0.309680240060095,0.34010923325416,0.030428993194064977
B136,INC,0.5,0.5,FULL,0.4995514550797792,0.32708918209680515,0.351608778894974,0.02451959679816884
B136,INC,0.5,0.5,ERA_ZIRP,0.4996019737477958,0.22804057584358567,0.24254004467625379,0.01449946883266811
B136,INC,0.5,0.5,ERA_HIKE,0.49940346929961743,0.6193658690294737,0.6804091865813877,0.061043317551914056
B136,INC,0.5,0.75,FULL,0.49955409942906764,0.490636370289217,0.5272243679778743,0.03658799768865729
B136,INC,0.5,0.75,ERA_ZIRP,0.49960405350224135,0.3420622877041126,0.3636240916315314,0.021561803927418795
B136,INC,0.5,0.75,ERA_HIKE,0.4994077675327391,0.9290567996206988,1.0208735959118087,0.0918167962911099
B136,INC,0.5,1.0,FULL,0.49955672297978787,0.6541852626745883,0.7027093517084859,0.04852408903389758
B136,INC,0.5,1.0,ERA_ZIRP,0.4996061213685709,0.45608493800459854,0.48458306758156766,0.028498129576969098
B136,INC,0.5,1.0,ERA_HIKE,0.4994120188656497,1.2387529445972312,1.3614944262138717,0.12274148161664049
B136,INC,0.6,0.25,FULL,0.3995734504949326,0.1308135045759334,0.14256658615416917,0.01175308157823577
B136,INC,0.6,0.25,ERA_ZIRP,0.39962227345033163,0.09120269549169144,0.09815293686645798,0.00695024137476654
B136,INC,0.6,0.25,ERA_HIKE,0.3994304320142761,0.2476890849279586,0.2769727442150316,0.02928365928707298
B136,INC,0.6,0.5,FULL,0.39957603275823494,0.2616286999294292,0.28502867752397965,0.02339997759455044
B136,INC,0.6,0.5,ERA_ZIRP,0.39962431770251705,0.18240632407106075,0.19620131401558716,0.01379498994452642
B136,INC,0.6,0.5,ERA_HIKE,0.39943459028894224,0.49538332699550597,0.5540395447316993,0.0586562177361933
B136,INC,0.6,0.75,FULL,0.3995785984171095,0.3924455697524715,0.42737905119816233,0.03493348144569079
