panel,book,conv,cost_bps,chooser,tranche,gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,pass4b,pass4a
B136,CAND,DEGROSS,0.0,C_ISSHARPE,STOCKS,0.75,0.11120680151807316,1.1876252435804087,-0.15363117740715815,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,True,False
B136,CAND,DEGROSS,0.0,C_ISCALMAR,STOCKS,0.75,0.11120680151807316,1.1876252435804087,-0.15363117740715815,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,True,False
B136,CAND,DEGROSS,10.0,C_ISSHARPE,STOCKS,0.75,0.10646020867751882,1.1408447073139243,-0.15876250862439045,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,True,False
B136,CAND,DEGROSS,10.0,C_ISCALMAR,STOCKS,0.75,0.10646020867751882,1.1408447073139243,-0.15876250862439045,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1016867720596069,0.07847283605551292,-0.12241069123223403,True,False
B136,CAND,DEGROSS,25.0,C_ISSHARPE,STOCKS,0.75,0.09937662004007941,1.0705753648859773,-0.166403241507584,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,DEGROSS,25.0,C_ISCALMAR,STOCKS,0.75,0.09937662004007941,1.0705753648859773,-0.166403241507584,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.057138821217919,0.07507655272231117,-0.12285153570594698,False,False
B136,CAND,DEGROSS,50.0,C_ISSHARPE,STOCKS,0.75,0.08766681123687214,0.953299638244479,-0.1789891682322855,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAND,DEGROSS,50.0,C_ISCALMAR,STOCKS,0.75,0.08766681123687214,0.953299638244479,-0.1789891682322855,0.8736721309012504,0.15257181383948715,-0.3371595330739301,0.9827932668211912,0.06943916638398329,-0.12358608812190786,False,False
B136,CAND,RESPREAD,0.0,C_ISSHARPE,NOEQETF,0.75,0.1338428464947472,1.194491940487121,-0.1724763971053065,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,True,False
B136,CAND,RESPREAD,0.0,C_ISCALMAR,NOEQETF,0.75,0.1338428464947472,1.194491940487121,-0.1724763971053065,0.8736721309012504,0.15257181383948715,-0.3371595330739301,1.1313567037098642,0.08074281555114382,-0.12211674782076976,True,False
