h_grid,c_set,base,panel,eta2_lad,eta2_stat,inf_total,row_N,row_H,row_GROSS,row_CADENCE,k_H,k_C
H4,C4,11181118,U56,0.42857142857142855,0.047619047619047616,9,1,3,1,4,4,4
H4,C4,11181118,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,11161116,U56,0.625,0.125,8,0,3,1,4,4,4
H4,C4,11161116,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,11191119,U56,0.42857142857142855,0.047619047619047616,9,1,3,1,4,4,4
H4,C4,11191119,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,11091109,U56,0.42857142857142855,0.047619047619047616,9,1,3,1,4,4,4
H4,C4,11091109,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,10821082,U56,0.625,0.125,8,0,3,1,4,4,4
H4,C4,10821082,B136,0.5555555555555556,0.047619047619047616,9,2,4,0,3,4,4
H4,C4,10981098,U56,0.6,0.06666666666666667,10,1,4,1,4,4,4
H4,C4,10981098,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,11021102,U56,0.7333333333333333,0.06666666666666667,10,0,4,2,4,4,4
H4,C4,11021102,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C4,11081108,U56,0.42857142857142855,0.047619047619047616,9,1,3,1,4,4,4
H4,C4,11081108,B136,0.7333333333333333,0.06666666666666667,10,2,4,0,4,4,4
H4,C9,11181118,U56,0.2,0.06666666666666667,6,1,3,1,1,4,9
H4,C9,11181118,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,11161116,U56,0.34545454545454546,0.2,5,0,3,1,1,4,9
H4,C9,11161116,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,11191119,U56,0.2,0.06666666666666667,6,1,3,1,1,4,9
H4,C9,11191119,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,11091109,U56,0.2,0.06666666666666667,6,1,3,1,1,4,9
H4,C9,11091109,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,10821082,U56,0.34545454545454546,0.2,5,0,3,1,1,4,9
H4,C9,10821082,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,10981098,U56,0.42857142857142855,0.047619047619047616,7,1,4,1,1,4,9
H4,C9,10981098,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,11021102,U56,0.5555555555555556,0.047619047619047616,7,0,4,2,1,4,9
H4,C9,11021102,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H4,C9,11081108,U56,0.2,0.06666666666666667,6,1,3,1,1,4,9
H4,C9,11081108,B136,0.5555555555555556,0.047619047619047616,7,2,4,0,1,4,9
H9,C4,11181118,U56,0.375,0.0,8,1,2,1,4,9,4
H9,C4,11181118,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,11161116,U56,0.5555555555555556,0.047619047619047616,7,0,2,1,4,9,4
H9,C4,11161116,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,11191119,U56,0.375,0.0,8,1,2,1,4,9,4
H9,C4,11191119,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,11091109,U56,0.375,0.0,8,1,2,1,4,9,4
H9,C4,11091109,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,10821082,U56,0.5555555555555556,0.047619047619047616,7,0,2,1,4,9,4
H9,C4,10821082,B136,0.30158730158730157,0.1746031746031746,7,2,2,0,3,9,4
H9,C4,10981098,U56,0.375,0.0,8,1,2,1,4,9,4
H9,C4,10981098,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,11021102,U56,0.5,0.125,8,0,2,2,4,9,4
H9,C4,11021102,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C4,11081108,U56,0.375,0.0,8,1,2,1,4,9,4
H9,C4,11081108,B136,0.5,0.125,8,2,2,0,4,9,4
H9,C9,11181118,U56,0.05454545454545454,0.05454545454545454,5,1,2,1,1,9,9
H9,C9,11181118,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,11161116,U56,0.16666666666666666,0.16666666666666666,4,0,2,1,1,9,9
H9,C9,11161116,B136,0.2,0.2,5,2,2,0,1,9,9
H9,C9,11191119,U56,0.05454545454545454,0.05454545454545454,5,1,2,1,1,9,9
