panel,strict_cells,fallback,pick_cadence,pick_phase,IS_J,IS_Sharpe,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD,live_oos_CAGR,live_oos_Sharpe,live_oos_MaxDD,silent_4b_rate,silent_oos_sh_lo,silent_oos_sh_hi
U56,10,False,W,1,1.783590255197967,1.1907392901160994,0.12825776520785181,1.1262207388652679,-0.19085811682543707,1.2675805907432456,1.01901237330634,0.13006047660513542,1.083962829841979,-0.19085811682543707,False,True,0.1527838188994346,0.8745240617633456,-0.3371726770846233,0.09466489117832899,1.2778075576954295,-0.12054947716248854,0.6875,1.03540089396612,1.2731330313848226
B136,7,False,D,0,1.1062773805150221,1.0980044460265317,0.13792285810478555,1.006716693350695,-0.26312617775857416,1.2165319096217722,0.8599725282599894,0.14072740364806413,0.9541170489561654,-0.26312617775857405,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.105887869727878,-0.12240985403190019,0.375,0.9541170489561654,1.1399074793192603
SMALL,0,True,M,0,-7.869868154324326,0.7011378632845093,0.05259473580688767,0.40689846411103625,-0.31779425477270207,0.6358933456975512,0.2549204446988849,0.032343525447455335,0.2725870898444531,-0.31779425477270096,False,False,0.15331706161492242,0.8767141873340053,-0.3371726770846233,0.044697858575210914,0.6516492954577333,-0.12176044561639543,0.0,0.2725870898444531,0.47302612919750914
