panel,arm,g_max_in_DDcap,g_min_over_CAGRfloor,window_width,window_open,n_pass4b
B136,BAND03,1.0,1.0,0.0,True,1
B136,BAND03_M,0.95,0.95,0.0,True,1
B136,BAND08,1.0,0.95,0.050000000000000044,True,2
B136,CAND05,0.6,0.5,0.09999999999999998,True,0
B136,CAND10,0.6,0.6,0.0,True,0
B136,CAND20,0.75,0.75,0.0,True,0
B136,CAND20_NOCAP,0.6,0.6,0.0,True,1
B136,CAND20_VS,0.75,0.95,-0.19999999999999996,False,0
B136,EWELIG,0.85,0.75,0.09999999999999998,True,2
B136,SPYBH,0.5,0.75,-0.25,False,0
U56,BAND03,1.0,0.95,0.050000000000000044,True,2
U56,BAND03_M,1.0,0.95,0.050000000000000044,True,2
U56,BAND08,1.0,0.95,0.050000000000000044,True,2
U56,CAND05,0.6,0.5,0.09999999999999998,True,0
U56,CAND10,0.85,0.75,0.09999999999999998,True,0
U56,CAND20,0.75,0.75,0.0,True,1
U56,CAND20_NOCAP,0.6,0.6,0.0,True,1
U56,CAND20_VS,0.85,0.85,0.0,True,1
U56,EWELIG,0.95,0.85,0.09999999999999998,True,2
U56,SPYBH,0.5,0.75,-0.25,False,0
