scope,norm,qlo,qhi,family,n,mean,t,p,W,L,Z,abstain,n_files,fc_mean,fc_t,fc_W,fc_L
FROZEN(parent),raw,0.0,0.1,THRESHOLD,1203,0.001238783070181544,1.5123520991546953,0.13044431378126253,68,51,1084,0.09975062344139651,43,0.0022719549625548987,0.6716766874021184,21,10
FROZEN(parent),raw,0.0,0.2,THRESHOLD,1203,-0.002141054755134727,-2.00044390265458,0.04545235170271211,107,126,970,0.19950124688279303,43,-0.007781547180587058,-1.2238309837652706,22,13
FROZEN(parent),raw,0.0,0.3,THRESHOLD,1203,0.003176855193302402,2.078217108176697,0.037689367053755696,187,156,860,0.30091438071487947,43,0.0018247842153553675,0.26041350783491735,32,8
FROZEN(parent),raw,0.0,0.4,THRESHOLD,1203,0.004469199806312544,2.7811514441878304,0.005416646205815834,259,200,744,0.399833748960931,43,0.005910672961915183,0.7821469912630427,33,8
FROZEN(parent),raw,0.0,0.5,THRESHOLD,1203,0.004492362547931478,2.672900960651538,0.007519844794964481,299,270,634,0.4995843724023275,43,0.009211545781088161,1.1769263036013151,36,7
FROZEN(parent),raw,0.0,0.6,THRESHOLD,1203,0.010807895108721348,5.486831729327583,4.0920659083454325e-08,393,295,515,0.6018287614297589,43,0.02101711045800146,2.166168786555267,36,7
FROZEN(parent),raw,0.0,0.7,THRESHOLD,1203,0.010657766229598506,5.146309100072613,2.656615469831536e-07,445,363,395,0.7015793848711555,43,0.0243620591570879,2.197096028512098,36,7
FROZEN(parent),raw,0.0,0.8,THRESHOLD,1203,0.015169884137435072,6.659162657495839,2.7539304170431933e-11,530,396,277,0.799667497921862,43,0.03335429149493272,2.8231417951047533,35,8
FROZEN(parent),raw,0.0,0.9,THRESHOLD,1203,0.013852503958442619,5.807678341060038,6.334506252869687e-09,584,462,157,0.8994181213632585,43,0.035090776236973875,2.9075258109992532,34,9
FROZEN(parent),raw,0.0,1.0,ALWAYS-ABSTAIN,1203,0.008766277537064607,3.1918973734057654,0.001413415423590969,632,535,36,1.0,43,0.035366378756108756,2.8909124499012693,35,8
FROZEN(parent),raw,0.1,0.2,BAND,1203,-0.003379837825316271,-4.942571246497961,7.70989158738189e-07,39,75,1089,0.09975062344139651,43,-0.010053502143141956,-1.9433451255602874,17,11
FROZEN(parent),raw,0.1,0.3,BAND,1203,0.0019380721231208582,1.499811784342431,0.13366316389921318,119,105,979,0.20116375727348296,43,-0.00044717074719953216,-0.07570732771426363,31,7
FROZEN(parent),raw,0.1,0.4,BAND,1203,0.0032304167361309993,2.332544425798295,0.019672068647799357,191,149,863,0.3000831255195345,43,0.003638717999360285,0.5600480428142522,33,7
FROZEN(parent),raw,0.1,0.5,BAND,1203,0.003253579477749934,2.213503900243235,0.026862924641147146,231,219,753,0.399833748960931,43,0.006939590818533263,1.0137025147262793,35,7
