panel,anchor,ladder,claimset,q,reading,licensed,pick,anchor_rung,is_best,moved,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4b,KEEP_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
U56,A,N,CS_STEPS,0.5,AGG,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_STEPS,0.5,PERCELL,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_STEPS,0.6,AGG,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_STEPS,0.6,PERCELL,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_STEPS,0.7,AGG,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_STEPS,0.7,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.8,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.8,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.9,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.9,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.95,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_STEPS,0.95,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.5,AGG,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_ENDS,0.5,PERCELL,True,40,20,40,True,0.134779599898325,1.128319973583018,-0.22984198631406594,1.2712689585975043,1.0285379281339,0.12806179457657096,1.1761934023688503,-0.12581409077906602,0.14033524612049586,1.1010141536542355,-0.22984198631406594,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,A,N,CS_ENDS,0.6,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.6,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.7,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.7,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.8,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.8,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.9,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.9,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.95,AGG,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,A,N,CS_ENDS,0.95,PERCELL,False,20,20,40,False,0.15618726699090724,1.1423044406701397,-0.19127563591226426,1.2049096419872931,1.1009159382357854,0.1391140719342452,1.1118991984993762,-0.13952247957155728,0.17042230856703666,1.1687759914997473,-0.19127563591226404,True,False,True,True,True,True,True,True,True,True,False,False,False
