chooser,mean_OOS_Sharpe,delta_vs_CH_RAW,SE,t
CH_RAW/ALL4,0.9677438007570123,0.0,0.0,0.0
CH_POINT/ALL4,0.9958652577472178,0.02812145699020545,0.04942923223919693,0.5689236048442078
CH_MED/ALL4,0.9875276491522175,0.01978384839520522,0.046108456566374065,0.4290720156014324
CH_IID90/ALL4,1.0178922348340091,0.05014843407699681,0.054054115655630834,0.9277449731392069
CH_IID95/ALL4,1.0178922348340091,0.05014843407699681,0.054054115655630834,0.9277449731392069
CH_BOOT95/ALL4,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
CH_ANCHOR/ALL4,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
CH_RAW/NG,0.9677438007570123,0.0,0.0,0.0
CH_POINT/NG,0.9958652577472178,0.02812145699020545,0.04942923223919693,0.5689236048442078
CH_MED/NG,0.9875276491522175,0.01978384839520522,0.046108456566374065,0.4290720156014324
CH_IID90/NG,1.0178922348340091,0.05014843407699681,0.054054115655630834,0.9277449731392069
CH_IID95/NG,1.0178922348340091,0.05014843407699681,0.054054115655630834,0.9277449731392069
CH_BOOT95/NG,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
CH_ANCHOR/NG,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
