gamma,delta,ratio,books_band_nonempty,books_pass4b,books_pass4b_levered_ok,n_books
0.3,0.4,1.3333333333333335,15,9,9,24
0.3,0.45,1.5,15,9,9,24
0.3,0.5,1.6666666666666667,16,9,9,24
0.3,0.55,1.8333333333333335,19,9,9,24
0.3,0.6,2.0,20,9,9,24
0.3,0.65,2.166666666666667,20,9,9,24
0.3,0.7,2.3333333333333335,20,9,9,24
0.3,0.75,2.5,20,9,9,24
0.3,0.8,2.666666666666667,21,9,9,24
0.3,0.85,2.8333333333333335,21,9,9,24
0.3,0.9,3.0,21,9,9,24
0.3,0.95,3.1666666666666665,21,9,9,24
0.3,1.0,3.3333333333333335,22,9,9,24
0.3,1.05,3.5000000000000004,22,9,9,24
0.3,1.1,3.666666666666667,22,9,9,24
0.3,1.15,3.833333333333333,22,9,9,24
0.3,1.2,4.0,22,9,9,24
0.35,0.4,1.142857142857143,15,9,9,24
0.35,0.45,1.2857142857142858,15,9,9,24
0.35,0.5,1.4285714285714286,15,9,9,24
0.35,0.55,1.5714285714285716,15,9,9,24
0.35,0.6,1.7142857142857144,16,9,9,24
0.35,0.65,1.8571428571428574,18,9,9,24
0.35,0.7,2.0,19,9,9,24
0.35,0.75,2.142857142857143,19,9,9,24
0.35,0.8,2.285714285714286,20,9,9,24
0.35,0.85,2.428571428571429,20,9,9,24
0.35,0.9,2.5714285714285716,21,9,9,24
0.35,0.95,2.7142857142857144,21,9,9,24
0.35,1.0,2.857142857142857,21,9,9,24
0.35,1.05,3.0000000000000004,21,9,9,24
0.35,1.1,3.1428571428571432,21,9,9,24
0.35,1.15,3.2857142857142856,21,9,9,24
0.35,1.2,3.428571428571429,21,9,9,24
0.4,0.4,1.0,13,8,8,24
0.4,0.45,1.125,15,9,9,24
0.4,0.5,1.25,15,9,9,24
0.4,0.55,1.375,15,9,9,24
0.4,0.6,1.4999999999999998,15,9,9,24
0.4,0.65,1.625,15,9,9,24
0.4,0.7,1.7499999999999998,16,9,9,24
0.4,0.75,1.875,18,9,9,24
0.4,0.8,2.0,19,9,9,24
0.4,0.85,2.125,19,9,9,24
0.4,0.9,2.25,21,9,9,24
0.4,0.95,2.3749999999999996,21,9,9,24
0.4,1.0,2.5,21,9,9,24
0.4,1.05,2.625,21,9,9,24
0.4,1.1,2.75,21,9,9,24
0.4,1.15,2.8749999999999996,21,9,9,24
0.4,1.2,2.9999999999999996,21,9,9,24
0.45,0.4,0.888888888888889,12,7,7,24
0.45,0.45,1.0,14,9,9,24
0.45,0.5,1.1111111111111112,15,9,9,24
0.45,0.55,1.2222222222222223,15,9,9,24
0.45,0.6,1.3333333333333333,15,9,9,24
0.45,0.65,1.4444444444444444,15,9,9,24
0.45,0.7,1.5555555555555554,15,9,9,24
0.45,0.75,1.6666666666666665,18,9,9,24
0.45,0.8,1.777777777777778,18,9,9,24
0.45,0.85,1.8888888888888888,18,9,9,24
0.45,0.9,2.0,19,9,9,24
0.45,0.95,2.111111111111111,19,9,9,24
0.45,1.0,2.2222222222222223,20,9,9,24
0.45,1.05,2.3333333333333335,21,9,9,24
0.45,1.1,2.4444444444444446,21,9,9,24
0.45,1.15,2.5555555555555554,21,9,9,24
0.45,1.2,2.6666666666666665,21,9,9,24
0.5,0.4,0.8,9,5,5,24
0.5,0.45,0.9,13,8,8,24
0.5,0.5,1.0,14,8,8,24
0.5,0.55,1.1,15,9,9,24
0.5,0.6,1.2,15,9,9,24
0.5,0.65,1.3,15,9,9,24
0.5,0.7,1.4,15,9,9,24
0.5,0.75,1.5,15,9,9,24
0.5,0.8,1.6,15,9,9,24
0.5,0.85,1.7,17,9,9,24
0.5,0.9,1.8,18,9,9,24
0.5,0.95,1.9,18,9,9,24
0.5,1.0,2.0,19,9,9,24
0.5,1.05,2.1,19,9,9,24
0.5,1.1,2.2,19,9,9,24
0.5,1.15,2.3,19,9,9,24
0.5,1.2,2.4,20,9,9,24
0.55,0.4,0.7272727272727273,6,3,3,24
0.55,0.45,0.8181818181818181,12,7,7,24
0.55,0.5,0.9090909090909091,13,8,8,24
0.55,0.55,1.0,15,9,9,24
