cut,value,COST_BPS,picks,DELTA,SE,t,GROSS_PART,REBATE,SHARE,turn_pick,turn_anchor
ladder,CADENCE,0.0,42,0.03690425328878738,0.030333600991939286,1.2166129995114707,0.03690425328878738,0.0,0.0,3.3283415346828837,3.469135014478301
ladder,CADENCE,10.0,42,0.036065976341845774,0.030174059095590226,1.1952643238216702,0.03690425328878738,-0.0008382769469416074,-0.023242874087093305,3.3283415346828837,3.469135014478301
ladder,CADENCE,25.0,42,0.0348037522691319,0.02991848610966607,1.1632858742103096,0.03690425328878738,-0.0021005010196554832,-0.06035271724188363,3.3283415346828837,3.469135014478301
ladder,CADENCE,50.0,42,0.03268485110118896,0.029450759709863723,1.109813513239934,0.03690425328878738,-0.00421940218759842,-0.1290935110744602,3.3283415346828837,3.469135014478301
ladder,GROSS,0.0,42,0.0009468866590557643,0.0004115054069070917,2.3010309054567277,0.0009468866590557643,0.0,0.0,3.126172509832921,3.469135014478301
ladder,GROSS,10.0,42,0.0010448783367499274,0.00042574509694347093,2.454234574282515,0.0009468866590557643,9.799167769416312e-05,0.09378285896802514,3.126172509832921,3.469135014478301
ladder,GROSS,25.0,42,0.0011916831349775793,0.0004500437399529866,2.647927366131273,0.0009468866590557643,0.000244796475921815,0.20542077733307915,3.126172509832921,3.469135014478301
ladder,GROSS,50.0,42,0.0014356004000961882,0.0004969587732707175,2.888771619118086,0.0009468866590557643,0.0004887137410404239,0.34042463418628127,3.126172509832921,3.469135014478301
ladder,H,0.0,42,-0.06171639741124472,0.07392652166213406,-0.8348343195870461,-0.06171639741124472,0.0,-0.0,3.709318200995435,3.469135014478301
ladder,H,10.0,42,-0.05916906286711826,0.0742627998799025,-0.7967523842732327,-0.06171639741124472,0.0025473345441264575,-0.04305179802910273,3.709318200995435,3.469135014478301
ladder,H,25.0,42,-0.05532570308934116,0.07486786897659972,-0.7389779333325682,-0.06171639741124472,0.006390694321903555,-0.11551040411693858,3.709318200995435,3.469135014478301
ladder,H,50.0,42,-0.04887872721193193,0.07613831778043614,-0.6419727758221024,-0.06171639741124472,0.012837670199312791,-0.2626432996843451,3.709318200995435,3.469135014478301
ladder,N,0.0,42,0.10740907323702775,0.03445565058732629,3.1173137469804644,0.10740907323702775,0.0,0.0,3.5390821017612004,3.469135014478301
ladder,N,10.0,42,0.10726307830413541,0.034611524997185124,3.0990566960819805,0.10740907323702775,-0.00014599493289234322,-0.0013610921409358298,3.5390821017612004,3.469135014478301
ladder,N,25.0,42,0.10706567347120888,0.03485039215100371,3.0721511828992525,0.10740907323702775,-0.00034339976581887477,-0.0032073750127880035,3.5390821017612004,3.469135014478301
ladder,N,50.0,42,0.10677765010681642,0.03525753737197822,3.028505620806079,0.10740907323702775,-0.0006314231302113338,-0.0059134390912300595,3.5390821017612004,3.469135014478301
panel,B136,0.0,56,0.062006037403751005,0.036230041529116984,1.7114536662597706,0.062006037403751005,0.0,0.0,3.5894223546862953,3.313098561246418
panel,B136,10.0,56,0.06391114241662872,0.03672071555434621,1.7404656050898848,0.062006037403751005,0.001905105012877717,0.02980865215111594,3.5894223546862953,3.313098561246418
panel,B136,25.0,56,0.06679990453490382,0.03748503777911536,1.7820418090153591,0.062006037403751005,0.004793867131152818,0.07176458057133839,3.5894223546862953,3.313098561246418
panel,B136,50.0,56,0.07167932424736098,0.03882481248032259,1.8462246091643044,0.062006037403751005,0.009673286843609977,0.13495226057416576,3.5894223546862953,3.313098561246418
panel,SMALL,0.0,56,-0.03287814410711265,0.07042811933662131,-0.46683262902374034,-0.03287814410711265,0.0,-0.0,3.8406415715126974,4.252890670075376
panel,SMALL,10.0,56,-0.03359717108603137,0.07040826493919494,-0.4771765234528378,-0.03287814410711265,-0.0007190269789187215,0.02140141433567512,3.8406415715126974,4.252890670075376
panel,SMALL,25.0,56,-0.034693685566940025,0.07034626138403866,-0.49318449743246645,-0.03287814410711265,-0.0018155414598273745,0.05233060224530953,3.8406415715126974,4.252890670075376
panel,SMALL,50.0,56,-0.0365676694470507,0.07015854101839687,-0.5212147931847952,-0.03287814410711265,-0.003689525339938049,0.10089582945066851,3.8406415715126974,4.252890670075376
panel,U56,0.0,56,0.03352996853358127,0.035696239683256796,0.9393137437192969,0.03352996853358127,0.0,0.0,2.8471218342553386,2.8414158121131083
panel,U56,10.0,56,0.033589681256112294,0.03553591542255687,0.9452319113409083,0.03352996853358127,5.9712722531024554e-05,0.0017777103056063881,2.8471218342553386,2.8414158121131083
panel,U56,25.0,56,0.03369533537151912,0.03534272185157191,0.95338823967856,0.03352996853358127,0.00016536683793785117,0.0049077071385265686,2.8471218342553386,2.8414158121131083
panel,U56,50.0,56,0.033902875996816934,0.03514889172688889,0.9645503551078182,0.03352996853358127,0.0003729074632356638,0.010999287000627182,2.8471218342553386,2.8414158121131083
