panel,cost,grid,stat,n_distinct,median,atom_at_median,pct_of_own_median,dev
U56,0.0,Q16,MEAN_SH,2000,1.3068442172532495,0.0,0.5,0.0
U56,0.0,Q16,MED_SH,1594,1.2967547181485148,0.001,0.5,0.0
U56,0.0,Q16,RATE4B,15,0.5,0.1945,0.48025,0.01974999999999999
U56,0.0,Q32,MEAN_SH,2000,1.2914712832420625,0.0,0.5,0.0
U56,0.0,Q32,MED_SH,1674,1.2875674150404908,0.0,0.5,0.0
U56,0.0,Q32,RATE4B,18,0.5,0.148,0.5085,0.008499999999999952
U56,0.0,REC1,MEAN_SH,18,1.3015933064366827,0.0635,0.51475,0.01475000000000004
U56,0.0,REC1,MED_SH,18,1.3015933064366827,0.0635,0.51475,0.01475000000000004
U56,0.0,REC1,RATE4B,2,1.0,0.5035,0.74825,0.24824999999999997
U56,10.0,Q16,MEAN_SH,2000,1.2443411309383068,0.0,0.5,0.0
U56,10.0,Q16,MED_SH,1567,1.234078102066045,0.002,0.5,0.0
U56,10.0,Q16,RATE4B,13,0.4375,0.1975,0.48075,0.01924999999999999
U56,10.0,Q32,MEAN_SH,2000,1.227183428847717,0.0,0.5,0.0
U56,10.0,Q32,MED_SH,1687,1.2153171101519828,0.0015,0.50025,0.00024999999999997247
U56,10.0,Q32,RATE4B,19,0.4375,0.139,0.464,0.035999999999999976
U56,10.0,REC1,MEAN_SH,18,1.2762297973468626,0.058,0.4745,0.025500000000000023
U56,10.0,REC1,MED_SH,18,1.2762297973468626,0.058,0.4745,0.025500000000000023
U56,10.0,REC1,RATE4B,2,0.0,0.55,0.275,0.22499999999999998
U56,25.0,Q16,MEAN_SH,2000,1.1480956110391296,0.0,0.5,0.0
U56,25.0,Q16,MED_SH,1557,1.1498569658083784,0.0,0.5,0.0
U56,25.0,Q16,RATE4B,13,0.3125,0.1995,0.44425,0.05575000000000002
U56,25.0,Q32,MEAN_SH,2000,1.1315041575964737,0.0,0.5,0.0
U56,25.0,Q32,MED_SH,1686,1.129663071717315,0.0025,0.50025,0.00024999999999997247
U56,25.0,Q32,RATE4B,19,0.3125,0.1475,0.44025,0.059750000000000025
U56,25.0,REC1,MEAN_SH,18,1.2007826759245603,0.0575,0.52225,0.022249999999999992
U56,25.0,REC1,MED_SH,18,1.2007826759245603,0.0575,0.52225,0.022249999999999992
U56,25.0,REC1,RATE4B,2,0.0,0.679,0.3395,0.16049999999999998
B136,0.0,Q16,MEAN_SH,2000,1.1538707758416007,0.0,0.5,0.0
B136,0.0,Q16,MED_SH,1564,1.1486255894943498,0.0,0.5,0.0
B136,0.0,Q16,RATE4B,13,0.625,0.1995,0.55675,0.05674999999999997
B136,0.0,Q32,MEAN_SH,2000,1.1559353718877023,0.0,0.5,0.0
B136,0.0,Q32,MED_SH,1681,1.1520133861105333,0.0,0.5,0.0
B136,0.0,Q32,RATE4B,20,0.59375,0.1415,0.51675,0.016750000000000043
B136,0.0,REC1,MEAN_SH,18,1.2004340699790108,0.051,0.523,0.02300000000000002
B136,0.0,REC1,MED_SH,18,1.2004340699790108,0.051,0.523,0.02300000000000002
B136,0.0,REC1,RATE4B,2,1.0,0.676,0.662,0.16200000000000003
B136,10.0,Q16,MEAN_SH,2000,1.087128300046912,0.0,0.5,0.0
B136,10.0,Q16,MED_SH,1504,1.0929741765402043,0.0025,0.50075,0.0007500000000000284
B136,10.0,Q16,RATE4B,14,0.5625,0.2025,0.46625,0.03375
B136,10.0,Q32,MEAN_SH,2000,1.0891608447251655,0.0,0.5,0.0
B136,10.0,Q32,MED_SH,1601,1.0930108925545912,0.0015,0.49975,0.00024999999999997247
B136,10.0,Q32,RATE4B,19,0.5625,0.1495,0.55325,0.05325000000000002
B136,10.0,REC1,MEAN_SH,18,1.1156643550566097,0.0615,0.51825,0.01824999999999999
B136,10.0,REC1,MED_SH,18,1.1156643550566097,0.0615,0.51825,0.01824999999999999
B136,10.0,REC1,RATE4B,2,1.0,0.612,0.694,0.19399999999999995
B136,25.0,Q16,MEAN_SH,2000,0.9888298219853742,0.0,0.5,0.0
B136,25.0,Q16,MED_SH,1494,0.991033162623502,0.0,0.5,0.0
B136,25.0,Q16,RATE4B,13,0.3125,0.216,0.4255,0.07450000000000001
B136,25.0,Q32,MEAN_SH,2000,0.990119994422569,0.0,0.5,0.0
B136,25.0,Q32,MED_SH,1675,0.9956478350540008,0.0,0.5,0.0
B136,25.0,Q32,RATE4B,17,0.3125,0.1455,0.47175,0.028249999999999997
B136,25.0,REC1,MEAN_SH,18,1.0605747214285195,0.056,0.487,0.013000000000000012
B136,25.0,REC1,MED_SH,18,1.0605747214285195,0.056,0.487,0.013000000000000012
B136,25.0,REC1,RATE4B,2,0.0,0.542,0.271,0.22899999999999998
