panel,cost,window,nbands_nom,nbands_rea,jaccard
U56,0,FULL,5,4,0.8
U56,0,OOS,5,5,1.0
U56,0,ALL,5,4,0.8
U56,10,FULL,5,1,0.2
U56,10,OOS,5,5,1.0
U56,10,ALL,5,1,0.2
U56,25,FULL,4,1,0.25
U56,25,OOS,5,4,0.8
U56,25,ALL,4,1,0.25
U56,50,FULL,1,0,0.0
U56,50,OOS,4,1,0.25
U56,50,ALL,1,0,0.0
B136,0,FULL,5,1,0.2
B136,0,OOS,4,0,0.0
B136,0,ALL,4,0,0.0
B136,10,FULL,4,0,0.0
B136,10,OOS,1,0,0.0
B136,10,ALL,1,0,0.0
B136,25,FULL,1,0,0.0
B136,25,OOS,1,0,0.0
B136,25,ALL,1,0,0.0
B136,50,FULL,1,0,0.0
B136,50,OOS,0,0,
B136,50,ALL,0,0,
SMALL,0,FULL,0,0,
SMALL,0,OOS,0,0,
SMALL,0,ALL,0,0,
SMALL,10,FULL,0,0,
SMALL,10,OOS,0,0,
SMALL,10,ALL,0,0,
SMALL,25,FULL,0,0,
SMALL,25,OOS,0,0,
SMALL,25,ALL,0,0,
SMALL,50,FULL,0,0,
SMALL,50,OOS,0,0,
SMALL,50,ALL,0,0,
