panel,N,H,freq,N_IID,N_BLOCK,phi_L63,denom,resolution,phi_estimable,gap,obs_maxdd,peak,trough,D_EPISODE,D_COVER,COVER_GRADED,D_TIES,D_RECOV,n_episodes,n_rec_episodes,n_rec_censored,deepest
U56,5,63,W,32.58494545350196,34.746787238297756,0.2731346578157933,7.914930320756952,2.184051801130792,True,0.24290144453521934,40.49987577425891,328,951,623.0,0.0,0.10112359550561797,1.0,0.8583333333333334,165,30,1,40.49987577425891
U56,5,63,M,34.13258370654039,32.4162480549205,0.3056022553311863,-5.616240134615055,1.2460030582439288,True,0.16454189881731363,28.516343571925333,2370,2481,111.0,0.0,0.5675675675675675,2.0,0.8048780487804879,146,33,1,28.516343571925333
U56,5,126,W,31.355988855518007,37.72990027986395,0.4473265641303323,14.248899876397346,2.4716353272109615,True,0.45442355340963303,45.60488873191535,986,1355,369.0,0.0,0.17073170731707318,1.0,0.875,172,24,1,45.60488873191535
U56,5,126,M,32.51485281575524,32.440092898149935,-0.007244766964332153,10.31916112324496,1.9157910310630157,True,0.317367609864891,42.8340139390002,3334,3730,396.0,0.0,0.1590909090909091,1.0,1.0454545454545454,165,34,1,42.8340139390002
U56,5,252,W,30.013459676284594,34.7938787455204,0.18245939401001032,26.199906533579405,1.445977062433517,True,0.8729385687675819,56.213366209864,2650,3094,444.0,0.0,0.14189189189189189,1.0,0.9082758620689655,163,24,0,56.213366209864
U56,5,252,M,31.94602494547987,30.735896339637232,-0.4186830209462948,2.890321664125622,1.8850944114476214,True,0.09047515830399377,34.83634660960549,2470,2867,397.0,0.0,0.15869017632241814,1.0,0.9130434782608695,158,29,1,34.83634660960549
U56,10,63,W,26.484639660927876,23.5006751987276,3.884478863388057,-0.7681762643439001,1.3060777340286833,False,0.029004595651613507,25.716463396583976,1701,1845,144.0,0.0,0.4375,1.0,1.2581699346405228,225,30,1,25.716463396583976
U56,10,63,M,27.75226109680195,31.074813583363635,0.25425344226097263,13.067876120046112,1.4749273175386293,True,0.4708760873380511,40.82013721684806,1223,1415,192.0,0.0,0.328125,1.0,0.8181818181818182,173,29,1,40.82013721684806
U56,10,126,W,24.983611227922665,22.525422541338536,0.45415856920107595,-5.412622051607226,1.2247868810691074,True,0.2166469051342692,19.57098917631544,2275,2366,91.0,0.0,0.6923076923076923,1.0,0.9994736842105263,209,40,1,19.57098917631544
U56,10,126,M,26.34792771417182,28.625754033588144,0.5194483815435867,4.385086950598559,2.1846625983133627,True,0.16643005090073726,30.73301466477038,3871,4430,559.0,0.0,0.11270125223613596,1.0,1.1084656084656084,218,26,1,30.73301466477038
