panel,window,gate,cad,band,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,n_days
SMALL439,FULL,MA,W,0.0,0.503968688338285,0.16795176660378172,-3.634247344094832,-3.5470208599768904,-0.08722648411794154,0.9759987486103078,3934
SMALL439,COMMON,MA,W,0.0,0.503968688338285,0.16795176660378172,-3.634247344094832,-3.5470208599768904,-0.08722648411794154,0.9759987486103078,3934
SMALL439,IS,MA,W,0.0,0.5464807879434856,0.17747673119243737,-2.3580492480094195,-2.57508706097227,0.2170378129628503,1.0920412553495504,1502
SMALL439,OOS,MA,W,0.0,0.4777132715590862,0.15614619657993317,-4.433054656070401,-4.221774216634855,-0.21128043943554609,0.952339762121762,2432
SMALL439,FULL,MA,W,0.02,0.5039321230871872,0.16734913763279413,-4.049832339971604,-3.8387574880705877,-0.21107485190101638,0.9478805950019905,3934
SMALL439,COMMON,MA,W,0.02,0.5039321230871872,0.16734913763279413,-4.049832339971604,-3.8387574880705877,-0.21107485190101638,0.9478805950019905,3934
SMALL439,IS,MA,W,0.02,0.5477833092429795,0.1773342471800454,-2.8374790939085903,-2.9480573677160837,0.11057827380749341,1.0389706038874011,1502
SMALL439,OOS,MA,W,0.02,0.47684968821629903,0.15482364119339195,-4.806150915617491,-4.451936529200795,-0.3542143864166958,0.9262997786304039,2432
SMALL439,FULL,MA,W,0.03,0.5029330396879949,0.1679525641346606,-4.049721313223675,-3.847301707401285,-0.20241960582239038,0.9500164109660031,3934
SMALL439,COMMON,MA,W,0.03,0.5029330396879949,0.1679525641346606,-4.049721313223675,-3.847301707401285,-0.20241960582239038,0.9500164109660031,3934
SMALL439,IS,MA,W,0.03,0.5468513194654903,0.17833697636631887,-2.7862610181608405,-2.929353565479209,0.14309254731836862,1.0513564760751746,1502
SMALL439,OOS,MA,W,0.03,0.47580916788462385,0.15515027866393183,-4.838321438667936,-4.480585893663092,-0.3577355450048447,0.926062054880063,2432
SMALL439,FULL,MA,W,0.05,0.504474635118688,0.16914553271010166,-4.562779302611064,-4.258523671700276,-0.304255630910788,0.9333179163987447,3934
SMALL439,COMMON,MA,W,0.05,0.504474635118688,0.16914553271010166,-4.562779302611064,-4.258523671700276,-0.304255630910788,0.9333179163987447,3934
SMALL439,IS,MA,W,0.05,0.5484179265507821,0.17903567353866925,-3.38327264087781,-3.344008231015483,-0.039264409862327376,0.988394547519487,1502
SMALL439,OOS,MA,W,0.05,0.47733531615034686,0.15673498583706313,-5.29859533421293,-4.885761547243583,-0.4128337869693466,0.9220861830486117,2432
SMALL439,FULL,MA,W,0.08,0.5113129308269743,0.17098940019321957,-4.450968022060953,-4.1934692946375085,-0.25749872742344415,0.9421477022195694,3934
SMALL439,COMMON,MA,W,0.08,0.5113129308269743,0.17098940019321957,-4.450968022060953,-4.1934692946375085,-0.25749872742344415,0.9421477022195694,3934
