panel,cost,grid,basis,null,floor_frac,base_rate,base_rate_min,base_rate_max
U56,0.0,LEGAL,FULL,GROSS,0.5,0.999,0.992,1.0
U56,0.0,LEGAL,FULL,GROSS,0.6,0.45675,0.064,0.944
U56,0.0,LEGAL,FULL,GROSS,0.7,0.00125,0.0,0.02
U56,0.0,LEGAL,FULL,GROSS,0.8,0.0,0.0,0.0
U56,0.0,LEGAL,FULL,GROSS,0.9,0.0,0.0,0.0
U56,0.0,LEGAL,FULL,BLOCK,0.5,0.7785,0.688,0.856
U56,0.0,LEGAL,FULL,BLOCK,0.6,0.5656249999999999,0.486,0.712
U56,0.0,LEGAL,FULL,BLOCK,0.7,0.31012500000000004,0.176,0.502
U56,0.0,LEGAL,FULL,BLOCK,0.8,0.130625,0.04,0.258
U56,0.0,LEGAL,FULL,BLOCK,0.9,0.04075,0.006,0.11
U56,0.0,LEGAL,FULL,IID,0.5,0.7606250000000001,0.684,0.82
U56,0.0,LEGAL,FULL,IID,0.6,0.5435000000000001,0.454,0.684
U56,0.0,LEGAL,FULL,IID,0.7,0.32425000000000004,0.248,0.468
U56,0.0,LEGAL,FULL,IID,0.8,0.15662500000000001,0.084,0.266
U56,0.0,LEGAL,FULL,IID,0.9,0.0585,0.024,0.12
U56,0.0,LEGAL,OOSWIN,GROSS,0.5,0.999375,0.992,1.0
U56,0.0,LEGAL,OOSWIN,GROSS,0.6,0.529,0.082,0.79
U56,0.0,LEGAL,OOSWIN,GROSS,0.7,0.0,0.0,0.0
U56,0.0,LEGAL,OOSWIN,GROSS,0.8,0.0,0.0,0.0
U56,0.0,LEGAL,OOSWIN,GROSS,0.9,0.0,0.0,0.0
U56,0.0,LEGAL,OOSWIN,BLOCK,0.5,0.786625,0.714,0.832
U56,0.0,LEGAL,OOSWIN,BLOCK,0.6,0.5775,0.528,0.654
U56,0.0,LEGAL,OOSWIN,BLOCK,0.7,0.322875,0.256,0.364
U56,0.0,LEGAL,OOSWIN,BLOCK,0.8,0.13625,0.1,0.19
U56,0.0,LEGAL,OOSWIN,BLOCK,0.9,0.041374999999999995,0.008,0.074
U56,0.0,LEGAL,OOSWIN,IID,0.5,0.7667499999999999,0.712,0.822
U56,0.0,LEGAL,OOSWIN,IID,0.6,0.5565,0.498,0.644
U56,0.0,LEGAL,OOSWIN,IID,0.7,0.33225,0.264,0.394
U56,0.0,LEGAL,OOSWIN,IID,0.8,0.16299999999999998,0.108,0.198
U56,0.0,LEGAL,OOSWIN,IID,0.9,0.05925,0.028,0.084
U56,0.0,POST2020,FULL,GROSS,0.5,0.97125,0.688,1.0
U56,0.0,POST2020,FULL,GROSS,0.6,0.7041249999999999,0.004,1.0
U56,0.0,POST2020,FULL,GROSS,0.7,0.292875,0.0,0.998
U56,0.0,POST2020,FULL,GROSS,0.8,0.061625,0.0,0.742
U56,0.0,POST2020,FULL,GROSS,0.9,0.002375,0.0,0.038
U56,0.0,POST2020,FULL,BLOCK,0.5,0.803125,0.53,0.944
U56,0.0,POST2020,FULL,BLOCK,0.6,0.653875,0.358,0.85
U56,0.0,POST2020,FULL,BLOCK,0.7,0.453125,0.194,0.7
U56,0.0,POST2020,FULL,BLOCK,0.8,0.27675000000000005,0.092,0.466
U56,0.0,POST2020,FULL,BLOCK,0.9,0.14425,0.014,0.296
U56,0.0,POST2020,FULL,IID,0.5,0.76325,0.546,0.904
U56,0.0,POST2020,FULL,IID,0.6,0.6172500000000001,0.38,0.794
U56,0.0,POST2020,FULL,IID,0.7,0.44899999999999995,0.234,0.656
U56,0.0,POST2020,FULL,IID,0.8,0.28812499999999996,0.136,0.482
U56,0.0,POST2020,FULL,IID,0.9,0.168375,0.064,0.38
U56,0.0,POST2020,OOSWIN,GROSS,0.5,0.9724999999999999,0.658,1.0
U56,0.0,POST2020,OOSWIN,GROSS,0.6,0.62225,0.0,0.892
U56,0.0,POST2020,OOSWIN,GROSS,0.7,0.019875,0.0,0.154
U56,0.0,POST2020,OOSWIN,GROSS,0.8,0.0,0.0,0.0
U56,0.0,POST2020,OOSWIN,GROSS,0.9,0.0,0.0,0.0
U56,0.0,POST2020,OOSWIN,BLOCK,0.5,0.75475,0.476,0.856
U56,0.0,POST2020,OOSWIN,BLOCK,0.6,0.568125,0.244,0.71
U56,0.0,POST2020,OOSWIN,BLOCK,0.7,0.361875,0.084,0.506
U56,0.0,POST2020,OOSWIN,BLOCK,0.8,0.195125,0.014,0.304
U56,0.0,POST2020,OOSWIN,BLOCK,0.9,0.088,0.004,0.182
U56,0.0,POST2020,OOSWIN,IID,0.5,0.719625,0.452,0.814
U56,0.0,POST2020,OOSWIN,IID,0.6,0.5449999999999999,0.26,0.646
U56,0.0,POST2020,OOSWIN,IID,0.7,0.367625,0.094,0.464
U56,0.0,POST2020,OOSWIN,IID,0.8,0.2185,0.026,0.324
U56,0.0,POST2020,OOSWIN,IID,0.9,0.114125,0.004,0.222
U56,0.0,POSTCRASH,FULL,GROSS,0.5,0.9581818181818181,0.688,1.0
U56,0.0,POSTCRASH,FULL,GROSS,0.6,0.5990909090909091,0.004,1.0
U56,0.0,POSTCRASH,FULL,GROSS,0.7,0.3210909090909091,0.0,0.998
U56,0.0,POSTCRASH,FULL,GROSS,0.8,0.0849090909090909,0.0,0.742
U56,0.0,POSTCRASH,FULL,GROSS,0.9,0.0034545454545454545,0.0,0.038
U56,0.0,POSTCRASH,FULL,BLOCK,0.5,0.7696363636363636,0.53,0.906
U56,0.0,POSTCRASH,FULL,BLOCK,0.6,0.6134545454545455,0.358,0.796
U56,0.0,POSTCRASH,FULL,BLOCK,0.7,0.41345454545454546,0.194,0.642
