selector,k,draw,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,cell_OOS_Sharpe,cell_4b_rate,full_Sharpe,full_MaxDD,f4a,f4b
n=5 S0 do-nothing (full B136)  [secondary],-,-,0.9808729595969661,0.16050924299153935,0.8138426077132945,-0.23360448342667006,,,0.8802203106986538,-0.23360448342666995,DD,"H2,OOS,DD"
n=5 S1 IS-Sharpe argmax  [secondary],20,39,1.3591597827212156,0.15279189008150396,0.9076977445288523,-0.21006408810281696,0.8226158550609692,0.02,1.093035859595601,-0.21006408810281718,-,DD
n=5 S2 DISPERSION (max IS sd)  [secondary],20,39,1.3591597827212156,0.15279189008150396,0.9076977445288523,-0.21006408810281696,0.8226158550609692,0.02,1.093035859595601,-0.21006408810281718,-,DD
n=5 S3 COUNT (max IS n_elig)  [secondary],80,26,0.7879168748450546,0.1598022939420185,0.8943632145022378,-0.22369384467828024,0.7667763905837844,0.02,0.8477975913999845,-0.22369384467828046,DD,"H1,DD"
n=5 S4 random sub-panel  [secondary],40,35,0.964023508374047,0.0990461486902865,0.7048905535408222,-0.19718266504679238,0.7374828567478748,0.0,0.8226019748568658,-0.1971826650467925,-,"H2,OOS"
n=20 S0 do-nothing (full B136),-,-,1.043837850225855,0.12486792010130943,0.8919165372280256,-0.2005204833110832,,,0.9569274633118441,-0.20052048331108274,-,H2
n=20 S1 IS-Sharpe argmax,20,19,1.3228890348164943,0.0836671928954773,1.1044581300449343,-0.10539828313352739,0.9915445499570517,0.0,1.2047248273451474,-0.10539828313352728,-,CAGR
n=20 S2 DISPERSION (max IS sd),20,39,1.1706200754628853,0.09031437873095238,1.1841432001887722,-0.09434014715091654,0.9915445499570517,0.0,1.1743705001474019,-0.09434014715091654,-,CAGR
n=20 S3 COUNT (max IS n_elig),80,26,0.9750126417431767,0.11996423956624103,0.952572427620686,-0.19643571399084603,0.9389499601805943,0.46,0.9619643793772903,-0.19643571399084625,-,-
n=20 S4 random sub-panel,40,35,1.0248291963711884,0.1029539781447475,0.9837469968493124,-0.17614790007413494,0.9939674855786583,0.34,1.002606631522404,-0.1761479000741354,-,CAGR
SPY,-,-,0.8986643995365173,0.1545044425578177,0.8820239235972316,-0.3371595330739301,,,0.8890499106949826,-0.3371595330739301,-,-
RULES v1 (B136),-,-,0.714743531177852,0.05941502665859644,0.5762505378038233,-0.2119126361153264,,,0.6349911081998837,-0.21191263611532518,-,-
