panel,book,dial,n_values,spearman_dial_turnover,turn_min,turn_max,argmax_0bps,argmax_5bps,argmax_10bps,argmax_15bps,argmax_20bps,argmax_25bps,argmax_30bps,n_distinct_argmax,rerankable,first_move_bps,sharpe_range_10bps,cost_of_0bps_pick_at_30
U56,TOPN,N,9,-1.0,6.686025626114198,27.632895828655922,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,,0.19544952928577275,0.0
U56,TOPN,G,7,-1.0,10.564530801215243,12.832255158431167,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.0481685840231334,0.0
U56,TOPN,V,8,-0.9761904761904763,12.222099266558633,14.304875859581779,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.3968620727225691,0.0
U56,TOPN,K,7,-1.0,3.2548063460438477,12.832255158431167,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2,True,5.0,0.14608980938295268,0.15513735055020828
U56,V1C,N,9,-1.0,6.589043778042867,37.17407323831512,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,,0.49408260756023525,0.0
U56,V1C,G,7,-1.0,11.622308080013894,14.157259442978125,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.12265895909412483,0.0
U56,V1C,V,8,0.880952380952381,13.558988100280446,14.207361376429397,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.26292881917940336,0.0
U56,V1C,K,7,-1.0,3.3573210912270555,14.157259442978125,2.0,2.0,6.0,6.0,6.0,6.0,6.0,2,True,10.0,0.21270754971868977,0.08251850423539198
U56,EWALL,G,7,-1.0,3.5149155145679485,10.859235274164671,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.1283937499199972,0.0
U56,EWALL,V,8,-1.0,10.058040403773981,18.052552886646694,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.30303883026000744,0.0
U56,EWALL,K,7,-1.0,2.551929766276513,10.859235274164671,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,0.15860327129295992,0.0
B136,TOPN,N,10,-0.9999999999999999,11.415836808757009,32.05845452567644,40.0,40.0,56.0,56.0,56.0,56.0,56.0,2,True,10.0,0.279719153682243,0.017702867937430367
B136,TOPN,G,7,-0.9642857142857145,17.730468464160875,18.349650059898526,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.016767137858137215,0.0
B136,TOPN,V,8,-1.0,17.50670015629153,25.7424299733303,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,False,,0.20872587619769445,0.0
B136,TOPN,K,7,-1.0,4.649802397768654,18.349650059898526,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,0.10327532816457108,0.0
B136,V1C,N,10,-0.9999999999999999,12.374289017392163,45.17193712736901,25.0,40.0,56.0,56.0,56.0,56.0,56.0,3,True,5.0,0.3673563144453348,0.14878346641709894
B136,V1C,G,7,-0.8928571428571429,22.960441738965798,23.737389307752142,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.060541535370791766,0.0
B136,V1C,V,8,-0.28571428571428575,23.69092965874673,24.30370443121877,0.2,0.2,0.8,0.8,5.0,5.0,5.0,3,True,10.0,0.02603748363820446,0.14084355306721696
B136,V1C,K,7,-1.0,5.565005453781221,23.737389307752142,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2,True,5.0,0.17808728873515323,0.1046379630306804
B136,EWALL,G,7,-1.0,3.4750411914607064,10.912638352483793,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.11703182485249797,0.0
B136,EWALL,V,8,-1.0,10.342497268129971,22.25294968477945,0.8,0.8,0.8,0.8,5.0,5.0,5.0,2,True,20.0,0.1898827926854174,0.004377581262932861
B136,EWALL,K,7,-1.0,2.5943807647996504,10.912638352483793,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,0.092281628753899,0.0
SMALL439,TOPN,N,10,-0.9999999999999999,20.329808741102326,47.632114080776816,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,False,,0.34672755427002105,0.0
SMALL439,TOPN,G,7,-1.0,26.763992969222265,26.933992671884695,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,False,,0.023446802868397343,0.0
SMALL439,TOPN,V,8,-0.7619047619047621,21.769676663801448,34.01263377291789,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.6046263747826577,0.0
SMALL439,TOPN,K,7,-1.0,6.00935147413619,26.933992671884695,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,False,,0.2869564966999043,0.0
SMALL439,V1C,N,10,-0.9999999999999999,21.68830057438348,46.747369934824,3.0,3.0,3.0,3.0,40.0,40.0,40.0,2,True,20.0,0.1684472129151573,0.08464573651387408
SMALL439,V1C,G,7,-0.642857142857143,32.12008828649853,32.41317998933515,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1,False,,0.03824898878413885,0.0
SMALL439,V1C,V,8,1.0,24.25736110481386,32.633321369140354,0.6,0.6,5.0,5.0,5.0,5.0,5.0,2,True,10.0,0.3445588269175766,0.012052544249670172
SMALL439,V1C,K,7,-1.0,5.970987925989709,32.41317998933515,1.0,1.0,3.0,8.0,8.0,8.0,8.0,3,True,10.0,0.2660347241435535,0.29132567031108647
SMALL439,EWALL,G,7,-1.0,9.169881436858114,17.632686618418052,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.1592126091177894,0.0
SMALL439,EWALL,V,8,-1.0,13.599976739049033,39.74270331372115,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.31987258409758856,0.0
