panel,gstar_IS,gstar_OOS,rungs_apart,J_OOS_at_ISpick,J_OOS_at_OOSpick,oos_regret_pp,incumbent_regret_pp,spearman_J_IS_vs_J_OOS,defined_IS,defined_OOS
U56,0.65,0.65,0,3.500686302553127,3.500686302553127,0.0,-2.3992325933866243,1.0,True,True
B136,0.6,0.6,0,2.3127956440016306,2.3127956440016306,0.0,-2.8226875173685357,0.982843137254902,True,True
SMALL,0.4,0.5,2,-6.54747972406104,-5.638345420616803,-0.9091343034442367,-9.944562388414148,0.9093137254901962,False,False
