claim_set,rule,n_admitted,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,mean_full_Sharpe,KEEP_4a,KEEP_4b,KEEP_4b_OOS
REF,REF_ACT_ON_ALL,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
REF,REF_DO_NOTHING,0,0.7922475401971669,0.10986686984873222,-0.23630752811038416,0.8656984721298047,0,24,24
REF,REF_PROSE_1239,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_STRICT,R_STRICT,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_STRICT,R_LADDER,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_STRICT,R_ANY,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_STRICT,R_UNION,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_PROX,R_STRICT,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_PROX,R_LADDER,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_PROX,R_ANY,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_PROX,R_UNION,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_ALL,R_STRICT,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_ALL,R_LADDER,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_ALL,R_ANY,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CS_ALL,R_UNION,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CONTROL,Q_ANY,72,0.8015992709093419,0.11024710486275392,-0.24529614462320973,0.8863182229455925,0,6,7
CONTROL,Q_MAJORITY,6,0.792265536790972,0.10940106297409985,-0.2343408890519586,0.865703256955912,0,24,24
CONTROL,Q_ALL,0,0.7922475401971669,0.10986686984873222,-0.23630752811038416,0.8656984721298047,0,24,24
