gate,pub_CAGR,got_CAGR,pub_Sharpe,got_Sharpe,pub_MaxDD,got_MaxDD,verdict
CAND g=1.00/full,0.1152,0.11544485987825248,1.1996,1.2016651077116542,-0.1591,-0.15910990262743974,PASS
CAND g=1.00/oos,0.1266,0.126956558390525,1.274,1.2775395947599435,-0.1591,-0.15910990262743996,PASS
SPY/full,0.1516,0.15163101010956526,0.886,0.8860543931081106,-0.3372,-0.33717235283398306,PASS
