kind,panel,mech,pair,seed,full_JACCARD_median,full_JACCARD_mean,full_JACCARD_p10,full_JACCARD_p90,full_OVERLAP_COEF_median,full_OVERLAP_COEF_mean,full_OVERLAP_COEF_p10,full_OVERLAP_COEF_p90,full_WEIGHT_L1_median,full_WEIGHT_L1_mean,full_WEIGHT_L1_p10,full_WEIGHT_L1_p90,H1_JACCARD_median,H1_JACCARD_mean,H1_JACCARD_p10,H1_JACCARD_p90,H1_OVERLAP_COEF_median,H1_OVERLAP_COEF_mean,H1_OVERLAP_COEF_p10,H1_OVERLAP_COEF_p90,H1_WEIGHT_L1_median,H1_WEIGHT_L1_mean,H1_WEIGHT_L1_p10,H1_WEIGHT_L1_p90,H2_JACCARD_median,H2_JACCARD_mean,H2_JACCARD_p10,H2_JACCARD_p90,H2_OVERLAP_COEF_median,H2_OVERLAP_COEF_mean,H2_OVERLAP_COEF_p10,H2_OVERLAP_COEF_p90,H2_WEIGHT_L1_median,H2_WEIGHT_L1_mean,H2_WEIGHT_L1_p10,H2_WEIGHT_L1_p90,OOS_JACCARD_median,OOS_JACCARD_mean,OOS_JACCARD_p10,OOS_JACCARD_p90,OOS_OVERLAP_COEF_median,OOS_OVERLAP_COEF_mean,OOS_OVERLAP_COEF_p10,OOS_OVERLAP_COEF_p90,OOS_WEIGHT_L1_median,OOS_WEIGHT_L1_mean,OOS_WEIGHT_L1_p10,OOS_WEIGHT_L1_p90,ret_rho,ret_rho_OOS
BOOK,U56,CAND20,W/H126 vs M/H0,-1,0.5454545454545454,0.5514911719470911,0.3793103448275862,0.7391304347826086,0.75,0.7222808506657894,0.55,0.85,0.7,0.6916109252196431,0.5499999999999999,0.85,0.6,0.5729243778082986,0.42857142857142855,0.7391304347826086,0.75,0.7365477102221502,0.6,0.85,0.75,0.7126951295499768,0.6,0.85,0.5384615384615384,0.5300676076539724,0.3333333333333333,0.7391304347826086,0.7,0.7080204089499849,0.55,0.85,0.7,0.6705362054616576,0.5,0.8,0.5384615384615384,0.5403731950779289,0.3333333333333333,0.7391304347826086,0.7368421052631579,0.7145526534437311,0.55,0.85,0.7,0.6803740708536771,0.5,0.85,0.9362515829477341,0.9314905842951179
BOOK,U56,CAND20,W/H0 vs M/H0,-1,0.7391304347826086,0.7620602975742742,0.5454545454545454,1.0,0.9,0.8709644973470122,0.75,1.0,0.85,0.8465096073959739,0.7,1.0,0.7391304347826086,0.7636949170997919,0.56,1.0,0.8666666666666667,0.868276633293071,0.75,1.0,0.85,0.8490866298887445,0.7,1.0,0.7391304347826086,0.7604264133701805,0.5384615384615384,1.0,0.9,0.8736511522853195,0.75,1.0,0.85,0.8439337441575862,0.7,1.0,0.7445652173913043,0.7662540488477977,0.55,1.0,0.9,0.8760363049754986,0.75,1.0,0.85,0.8489395870641157,0.7,1.0,0.9515565382531046,0.946230118623133
BOOK,U56,CAND20,W/H126 vs W/H0,-1,0.5384615384615384,0.5273212097333276,0.3448275862068966,0.6666666666666666,0.7,0.6993963223842171,0.55,0.85,0.7,0.6705041513918587,0.5,0.8,0.5384615384615384,0.5485843756678677,0.3793103448275862,0.7333333333333333,0.7,0.7117245963615856,0.5833333333333334,0.85,0.7,0.6921669552804726,0.5499999999999999,0.8,0.48148148148148145,0.5060676088756813,0.3333333333333333,0.6666666666666666,0.7,0.6870735941891146,0.5,0.85,0.6499999999999999,0.6488510923542969,0.45000000000000007,0.8,0.5333333333333333,0.5161531003824033,0.3333333333333333,0.6666666666666666,0.7,0.693709844086301,0.5,0.85,0.65,0.6588580714945046,0.4999999999999999,0.8,0.8987705564965212,0.8850408970879611
BOOK,U56,CAND20,M/H0 vs M/H5,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
BOOK,U56,R3_84,W/H126 vs M/H0,-1,0.55,0.5676712135918145,0.38461538461538464,0.7391304347826086,0.75,0.7359632780397057,0.6,0.85,0.7,0.7053480025896157,0.55,0.85,0.5909090909090909,0.5806840573844082,0.42857142857142855,0.7391304347826086,0.75,0.7425443390203682,0.6428571428571429,0.85,0.7,0.7186357236093828,0.6,0.85,0.5384615384615384,0.5546642235301215,0.3793103448275862,0.7391304347826086,0.75,0.7293851775003303,0.55,0.85,0.7,0.6920662589522238,0.5,0.85,0.6,0.5598018883872002,0.3793103448275862,0.7391304347826086,0.75,0.7316748357601451,0.55,0.85,0.7,0.6976469621209163,0.523333333333334,0.85,0.933994194579999,0.9274121345792482
BOOK,U56,R3_84,W/H0 vs M/H0,-1,0.8,0.7775848846365612,0.6,1.0,0.9,0.881498928138254,0.75,1.0,0.85,0.8569145567773013,0.7000000000000001,1.0,0.7777777777777778,0.7795452847421315,0.6,1.0,0.9,0.8789903981680105,0.75,1.0,0.85,0.8597526964954052,0.7227272727272729,1.0,0.8181818181818182,0.7756253664023834,0.6,1.0,0.9,0.8840063296649661,0.75,1.0,0.8571428571428572,0.8540776937752198,0.7,1.0,0.8181818181818182,0.7816473424712199,0.6,1.0,0.9,0.8863396517002541,0.75,1.0,0.8999999999999999,0.8590503335776513,0.7499999999999999,1.0,0.9528510529601535,0.9482778642516339
BOOK,U56,R3_84,W/H126 vs W/H0,-1,0.5384615384615384,0.5470429767476892,0.3793103448275862,0.7391304347826086,0.7,0.7162047063765259,0.55,0.85,0.7,0.6873177549932662,0.5,0.85,0.5384615384615384,0.560865788164951,0.42362637362637373,0.7391304347826086,0.7,0.7221940447327826,0.6,0.85,0.7,0.7022479633812826,0.55,0.85,0.5384615384615384,0.5332263834192339,0.3333333333333333,0.7391304347826086,0.7,0.7102180622795389,0.536666666666667,0.85,0.7,0.6723942628483391,0.5,0.85,0.5384615384615384,0.5381804186164911,0.3333333333333333,0.7391304347826086,0.7,0.7126188484197764,0.55,0.85,0.7,0.6781306178473576,0.5,0.85,0.897432741875089,0.8803800747241625
BOOK,U56,R3_84,M/H0 vs M/H5,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998
BOOK,U56,MOMONLY,W/H126 vs M/H0,-1,0.6,0.5969312461399632,0.4240601503759401,0.7391304347826086,0.75,0.7562084558392198,0.6,0.9,0.75,0.7264621411584291,0.5499999999999999,0.85,0.6666666666666666,0.6178779903270741,0.42857142857142855,0.7391304347826086,0.8,0.7676391417337222,0.6,0.9,0.8,0.7452558856255843,0.6,0.85,0.6,0.5759939246897785,0.3793103448275862,0.7391304347826086,0.75,0.7447829119536669,0.6,0.9,0.75,0.707676850917305,0.5,0.85,0.6,0.5783385770661754,0.3793103448275862,0.7391304347826086,0.75,0.7442995952719448,0.55,0.9,0.75,0.710465807870865,0.5,0.85,0.9381482178146863,0.9342111236265807
BOOK,U56,MOMONLY,W/H0 vs M/H0,-1,0.8181818181818182,0.7797371093643013,0.5714285714285714,1.0,0.9,0.8812070210632359,0.75,1.0,0.9,0.8571957716254454,0.7,1.0,0.8181818181818182,0.7871326387500758,0.6,1.0,0.9,0.8822586205138393,0.75,1.0,0.9,0.8636455857843341,0.7142857142857142,1.0,0.8181818181818182,0.772344906802362,0.5463636363636364,1.0,0.9,0.8801558946668162,0.75,1.0,0.8666666666666667,0.8507488588674376,0.7,1.0,0.8181818181818182,0.7767521375909439,0.5714285714285714,1.0,0.9,0.8818033444808582,0.75,1.0,0.9,0.8549896280813429,0.7,1.0,0.9529170369095291,0.9485067200494586
