stat,repair,n,n_satisfiable,n_lands,rate,med_rel_gap
CAGR,P_HALF,81,0,0,0.0,
CAGR,P_OVERLAP,81,0,0,0.0,
CAGR,P_QUARTERS,81,81,14,0.1728395061728395,0.356295258958841
CAGR,P_BLOCK,81,81,36,0.4444444444444444,0.3010393712210866
VOL,P_HALF,81,0,0,0.0,
VOL,P_OVERLAP,81,0,0,0.0,
VOL,P_QUARTERS,81,81,10,0.12345679012345678,0.5685311976109819
VOL,P_BLOCK,81,81,25,0.30864197530864196,0.3803375246210164
SHARPE,P_HALF,81,0,0,0.0,
SHARPE,P_OVERLAP,81,0,0,0.0,
SHARPE,P_QUARTERS,81,81,10,0.12345679012345678,0.5270845137527893
SHARPE,P_BLOCK,81,81,25,0.30864197530864196,0.32758911040433764
MAXDD,P_HALF,81,0,0,0.0,
MAXDD,P_OVERLAP,81,0,0,0.0,
MAXDD,P_QUARTERS,81,81,38,0.4691358024691358,0.2836478762667843
MAXDD,P_BLOCK,81,81,59,0.7283950617283951,0.1806667392022186
ULCER,P_HALF,81,0,0,0.0,
ULCER,P_OVERLAP,81,0,0,0.0,
ULCER,P_QUARTERS,81,81,33,0.4074074074074074,0.5072819437558236
ULCER,P_BLOCK,81,81,45,0.5555555555555556,0.2333112918058246
CALMAR,P_HALF,81,0,0,0.0,
CALMAR,P_OVERLAP,81,0,0,0.0,
CALMAR,P_QUARTERS,81,81,30,0.37037037037037035,0.3868129225020703
CALMAR,P_BLOCK,81,81,8,0.09876543209876543,5.8046433552964
