stat_type,leg,n,value_MQ,value_DW,abs_delta,survives_DW
S_ONLY,L1_H1,4,0.0,0.05,0.05,True
S_ONLY,L4_DD,19,0.38835978835978835,0.09666666666666668,0.29169312169312167,False
S_ONLY,L5_CAGR,2,0.04206349206349207,0.13,0.08793650793650794,True
S_RATE,L4_DD,12,0.8793650793650793,0.6399999999999999,0.23936507936507945,False
S_RATE,L5_CAGR,1,0.34973544973544973,0.48333333333333334,0.1335978835978836,False
