claimset,comparisons,full4a_moves,full4b_moves,mean_abs_dH1,max_abs_dH1
LIVE,42,0,0,0.07494336105052651,0.2865610942659428
RANKED,42,0,0,0.08823308522717498,0.30996132865755005
EWGATE,21,0,0,0.06219992649911326,0.22579771208403532
CONTROL,21,0,0,0.054656095305656016,0.10572627663326895
