panel,comparand,n_rows,pass_INCL,pass_DROP,flips,flip_FAIL_to_PASS,flip_PASS_to_FAIL
U56,v2band,1334,0,0,0,0,0
U56,v1rules,1334,55,77,22,22,0
B136,v2band,1334,4,2,2,0,2
B136,v1rules,1334,722,751,43,36,7
SMALL439,v2band,1334,116,122,6,6,0
SMALL439,v1rules,1334,1050,1048,74,36,38
