m_min,decile,share_lo,share_hi,n_cells,share,d_mean,abs_d,sd_d,sd_d_median,sd_fix,switch,n_books,distinct,mode_stable
8,1,0.21439050111736238,0.33734375000000005,56,0.2798290227807582,0.004921430021275626,0.01662916626706158,0.04540968177491918,0.03379180906518259,0.015054618416550794,0.4185267857142857,57.05357142857143,8.232142857142858,0.24375000000000005
8,2,0.33734375000000005,0.3934375,56,0.36394580535205534,-0.008901731763452308,0.017481498346915095,0.04034488413257834,0.02806894152830395,0.0153797837128252,0.41584821428571433,25.589285714285715,5.982142857142857,0.2200892857142857
8,3,0.3934375,0.46515625000000005,56,0.4236504995294058,0.005340470322332583,0.012012004949063024,0.025269139327544328,0.015477316690143496,0.011332067627238719,0.3176339285714286,24.357142857142858,5.285714285714286,0.3879464285714285
8,4,0.46515625000000005,0.5825,56,0.5155645461309524,0.008520725065026154,0.011510418627849775,0.01309402976861754,0.010395743260658993,0.007315893237559377,0.20915178571428572,21.714285714285715,4.357142857142857,0.5839285714285715
8,5,0.5825,0.71875,57,0.6522184379013172,0.02496932910066896,0.02639879841862226,0.02330248813705518,0.01039115087667733,0.013904662630853151,0.06184210526315789,25.75438596491228,3.543859649122807,0.8763157894736843
8,6,0.71875,0.8125,56,0.7834841216519416,0.007993772190358439,0.012711288265408863,0.006942072818262919,0.00427517447390897,0.006610704074731147,0.0017857142857142859,24.696428571428573,3.0,0.9964285714285713
8,7,0.8125,0.9049213551119178,55,0.8663836154602942,0.009952779152998734,0.011690565435052551,0.006149231300788143,0.005153042697089535,0.006149231300788143,0.0,54.6,3.272727272727273,1.0
8,8,0.9049213551119178,0.9583333333333333,60,0.9393830128205127,0.0019580316919728022,0.003089597102776981,0.0029513675496140065,0.00024300520113750522,0.0029513675496140065,0.0,28.15,2.35,1.0
8,9,0.9583333333333333,1.0,108,0.9973958333333334,0.0003296876995934099,0.0003347997871277558,0.00032681345446644247,0.0,0.00032681345446644247,0.0,21.564814814814813,1.0833333333333333,1.0
12,1,0.21439050111736238,0.33734375000000005,56,0.2798290227807582,0.004921430021275626,0.01662916626706158,0.04540968177491918,0.03379180906518259,0.015054618416550794,0.4185267857142857,57.05357142857143,8.232142857142858,0.24375000000000005
12,2,0.33734375000000005,0.3934375,56,0.36394580535205534,-0.008901731763452308,0.017481498346915095,0.04034488413257834,0.02806894152830395,0.0153797837128252,0.41584821428571433,25.589285714285715,5.982142857142857,0.2200892857142857
12,3,0.3934375,0.46515625000000005,56,0.4236504995294058,0.005340470322332583,0.012012004949063024,0.025269139327544328,0.015477316690143496,0.011332067627238719,0.3176339285714286,24.357142857142858,5.285714285714286,0.3879464285714285
12,4,0.46515625000000005,0.5825,56,0.5155645461309524,0.008520725065026154,0.011510418627849775,0.01309402976861754,0.010395743260658993,0.007315893237559377,0.20915178571428572,21.714285714285715,4.357142857142857,0.5839285714285715
