panel,ladder,is_stat,ladder_size,ext_size,anchor_rung,anchor_index,anchor_at_boundary,pick_base,pick_index,pick_ext,B_EXT,B_STRICT,B_ADJ,is_margin,oos_S_pick,oos_S_ext,oos_S_anchor,d_oos_S,d_oos_S_ext,oos_CAGR_pick,oos_DD_pick,pick_keep4a,pick_keep4b,reach
U56,GROSS,IS_SHARPE,4,7,0.75,3,True,0.75,3,1.0,True,True,True,0.0,1.1831862943616596,1.1839750274457161,1.1831862943616596,0.0,0.0007887330840565809,0.17284600189211563,-0.19127563591226437,False,True,True
U56,GROSS,IS_CAGR,4,7,0.75,3,True,0.75,3,1.0,True,True,True,0.0,1.1831862943616596,1.1839750274457161,1.1831862943616596,0.0,0.0007887330840565809,0.17284600189211563,-0.19127563591226437,False,True,True
U56,GROSS,IS_DD,4,7,0.75,3,True,0.3,0,0.15,True,True,True,0.08268907436119721,1.1810751122539387,1.180207766502706,1.1831862943616596,-0.002111182107720877,-0.0029785278589535835,0.06825950253472968,-0.07990333123577398,False,False,False
U56,N,IS_SHARPE,6,10,20.0,3,False,16.0,2,50.0,True,False,False,0.06243411390826603,1.184636873841214,1.1147738031407477,1.1831862943616596,0.0014505794795545146,-0.06841249122091186,0.18371672592557786,-0.202308380777648,False,False,False
U56,N,IS_CAGR,6,10,20.0,3,False,10.0,0,5.0,True,True,True,0.023187184187369203,1.095526853155757,0.9060838087852844,1.1831862943616596,-0.08765944120590263,-0.2771024855763752,0.17684943562424715,-0.20771055519190795,False,False,False
U56,N,IS_DD,6,10,20.0,3,False,20.0,3,40.0,True,False,False,0.0,1.1831862943616596,1.1212046598635055,1.1831862943616596,0.0,-0.06198163449815408,0.17284600189211563,-0.19127563591226437,False,True,True
U56,H,IS_SHARPE,6,10,126.0,3,False,189.0,4,378.0,True,False,True,0.130810226073506,1.0530445140025766,1.0393832297703745,1.1831862943616596,-0.13014178035908297,-0.1438030645912851,0.15801217588581307,-0.21753419701251098,False,False,False
U56,H,IS_CAGR,6,10,126.0,3,False,189.0,4,378.0,True,False,True,0.01328215737943128,1.0530445140025766,1.0393832297703745,1.1831862943616596,-0.13014178035908297,-0.1438030645912851,0.15801217588581307,-0.21753419701251098,False,False,False
U56,H,IS_DD,6,10,126.0,3,False,42.0,1,10.0,True,False,True,0.024153145085032413,1.0898384157754941,1.1656218174069388,1.1831862943616596,-0.09334787858616544,-0.017564476954720742,0.15736386811974712,-0.2282840041427342,False,False,False
U56,MAXVOL,IS_SHARPE,4,7,0.6,2,False,0.4,0,0.3,True,True,True,0.03935769499305741,1.0725819909555907,1.0169253385274963,1.1831862943616596,-0.11060430340606886,-0.16626095583416323,0.14757997980947346,-0.20362214799743927,False,False,False
U56,MAXVOL,IS_CAGR,4,7,0.6,2,False,0.6,2,5.0,True,False,True,0.0,1.1831862943616596,1.1505884533223434,1.1831862943616596,0.0,-0.03259784103931618,0.17284600189211563,-0.19127563591226437,False,True,True
U56,MAXVOL,IS_DD,4,7,0.6,2,False,0.4,0,0.3,True,True,True,0.015308364102622152,1.0725819909555907,1.0169253385274963,1.1831862943616596,-0.11060430340606886,-0.16626095583416323,0.14757997980947346,-0.20362214799743927,False,False,False
