tau,scope,cells,took,abstained,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,pass4a,pass4b
0.0,ALL,132,0,132,0.8071391119281909,0.08169273205921827,-0.24492211537909278,0,8
0.0,B_only,60,0,60,0.7578038797201064,0.07904140655568064,-0.2712611627332238,0,4
0.0,n_only,24,0,24,0.729013243496378,0.08949829720260101,-0.30093075588918033,0,2
0.25,ALL,132,106,26,0.8041556342401854,0.08674682637188756,-0.2561376215423005,3,15
0.25,B_only,60,46,14,0.7618552359777424,0.08704856699642495,-0.2866225442403175,1,3
0.25,n_only,24,18,6,0.7086756172848462,0.08694820385686997,-0.29926822520946106,0,2
0.5,ALL,132,127,5,0.8036814988775111,0.08709933540039504,-0.2560647349097059,4,16
0.5,B_only,60,56,4,0.7685761931724149,0.08880278570695364,-0.2853179081432406,2,4
0.5,n_only,24,22,2,0.7096774333091108,0.0882737050116968,-0.3002822395053027,0,3
0.75,ALL,132,130,2,0.7999037967910556,0.08727856911380608,-0.25657946117775576,4,15
0.75,B_only,60,58,2,0.7602652485822126,0.08919709987645795,-0.2864503059329503,2,3
0.75,n_only,24,24,0,0.6889000718336048,0.08925949043545757,-0.30311323397957707,0,2
1.0,ALL,132,132,0,0.8005383230526151,0.08739237937773105,-0.2565033707556694,4,15
1.0,B_only,60,60,0,0.7616612063576433,0.08944748245709284,-0.28628290700436027,2,3
1.0,n_only,24,24,0,0.6889000718336048,0.08925949043545757,-0.30311323397957707,0,2
1.5,ALL,132,132,0,0.8005383230526151,0.08739237937773105,-0.2565033707556694,4,15
1.5,B_only,60,60,0,0.7616612063576433,0.08944748245709284,-0.28628290700436027,2,3
1.5,n_only,24,24,0,0.6889000718336048,0.08925949043545757,-0.30311323397957707,0,2
2.0,ALL,132,132,0,0.8005383230526151,0.08739237937773105,-0.2565033707556694,4,15
2.0,B_only,60,60,0,0.7616612063576433,0.08944748245709284,-0.28628290700436027,2,3
2.0,n_only,24,24,0,0.6889000718336048,0.08925949043545757,-0.30311323397957707,0,2
1000000000.0,ALL,132,132,0,0.8005383230526151,0.08739237937773105,-0.2565033707556694,4,15
1000000000.0,B_only,60,60,0,0.7616612063576433,0.08944748245709284,-0.28628290700436027,2,3
1000000000.0,n_only,24,24,0,0.6889000718336048,0.08925949043545757,-0.30311323397957707,0,2
