panel,K,lam,key,n,pn,R2_oof
U56,2,0.001,sd,1200,0.04583333333333333,0.9677432006651929
U56,2,0.001,mu,1200,0.04583333333333333,0.9999999999254727
U56,2,0.001,yS,1200,0.04583333333333333,0.9833986349724024
U56,2,0.01,sd,1200,0.04583333333333333,0.967743584096813
U56,2,0.01,mu,1200,0.04583333333333333,0.9999999925486058
U56,2,0.01,yS,1200,0.04583333333333333,0.9833984942611786
U56,2,0.1,sd,1200,0.04583333333333333,0.9677468089246142
U56,2,0.1,mu,1200,0.04583333333333333,0.9999992561929446
U56,2,0.1,yS,1200,0.04583333333333333,0.9833964593033111
U56,2,1.0,sd,1200,0.04583333333333333,0.9677192521111225
U56,2,1.0,mu,1200,0.04583333333333333,0.9999269308313776
U56,2,1.0,yS,1200,0.04583333333333333,0.9833145619648223
U56,2,10.0,sd,1200,0.04583333333333333,0.9624529548149267
U56,2,10.0,mu,1200,0.04583333333333333,0.9938236511278082
U56,2,10.0,yS,1200,0.04583333333333333,0.9774030089487409
U56,2,100.0,sd,1200,0.04583333333333333,0.7815942690681656
U56,2,100.0,mu,1200,0.04583333333333333,0.8012580636552098
U56,2,100.0,yS,1200,0.04583333333333333,0.7931337119779335
U56,3,0.001,sd,1200,0.04583333333333333,0.9682347578335404
U56,3,0.001,mu,1200,0.04583333333333333,0.9999999999631287
U56,3,0.001,yS,1200,0.04583333333333333,0.9841305324154314
U56,3,0.01,sd,1200,0.04583333333333333,0.9682348812140439
U56,3,0.01,mu,1200,0.04583333333333333,0.9999999963133139
U56,3,0.01,yS,1200,0.04583333333333333,0.9841304361767554
U56,3,0.1,sd,1200,0.04583333333333333,0.9682357911267786
U56,3,0.1,mu,1200,0.04583333333333333,0.9999996317739823
U56,3,0.1,yS,1200,0.04583333333333333,0.9841291588170764
U56,3,1.0,sd,1200,0.04583333333333333,0.9682129345350583
U56,3,1.0,mu,1200,0.04583333333333333,0.999963615403735
U56,3,1.0,yS,1200,0.04583333333333333,0.9840853127769272
U56,3,10.0,sd,1200,0.04583333333333333,0.9651798272600827
U56,3,10.0,mu,1200,0.04583333333333333,0.9967578154241329
U56,3,10.0,yS,1200,0.04583333333333333,0.9809222209893789
U56,3,100.0,sd,1200,0.04583333333333333,0.8360961385031243
U56,3,100.0,mu,1200,0.04583333333333333,0.8637779082065202
U56,3,100.0,yS,1200,0.04583333333333333,0.8533897813225211
U56,5,0.001,sd,1200,0.04583333333333333,0.9681272535400698
U56,5,0.001,mu,1200,0.04583333333333333,0.9999999999756075
U56,5,0.001,yS,1200,0.04583333333333333,0.9840588963600685
U56,5,0.01,sd,1200,0.04583333333333333,0.9681275748875272
U56,5,0.01,mu,1200,0.04583333333333333,0.9999999975609892
U56,5,0.01,yS,1200,0.04583333333333333,0.9840588938892475
U56,5,0.1,sd,1200,0.04583333333333333,0.9681305757828855
U56,5,0.1,mu,1200,0.04583333333333333,0.9999997563329098
U56,5,0.1,yS,1200,0.04583333333333333,0.9840586640696255
U56,5,1.0,sd,1200,0.04583333333333333,0.9681395495916553
U56,5,1.0,mu,1200,0.04583333333333333,0.9999758653506005
U56,5,1.0,yS,1200,0.04583333333333333,0.9840360727306078
U56,5,10.0,sd,1200,0.04583333333333333,0.9663313643907822
U56,5,10.0,mu,1200,0.04583333333333333,0.9978007451122772
U56,5,10.0,yS,1200,0.04583333333333333,0.9819816117340966
U56,5,100.0,sd,1200,0.04583333333333333,0.867710965637373
U56,5,100.0,mu,1200,0.04583333333333333,0.8944953993040458
